test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.30403057377687975, 'HR@5': 0.43608807549327994}","{'NDCG@5': 0.2779573353165517, 'HR@5': 0.4033592989289192}","{'NDCG@5': 0.25229757726193586, 'HR@5': 0.3710882293559459}","{'NDCG@5': 0.23550567285231114, 'HR@5': 0.3518919819969995}","{'NDCG@5': 0.20835662793911827, 'HR@5': 0.3139656070870245}","{'NDCG@5': 0.18306328724796503, 'HR@5': 0.2822675559042762}","{'NDCG@5': 0.156086098590416, 'HR@5': 0.2501399776035834}","{'NDCG@5': 0.13839991461623266, 'HR@5': 0.22528562632551138}","{'NDCG@5': 0.11907444212755476, 'HR@5': 0.19840458171405195}","{'NDCG@5': 0.09001209912567455, 'HR@5': 0.1576723902970837}"
"{'NDCG@5': 0.30387115023263217, 'HR@5': 0.436374034887046}","{'NDCG@5': 0.27665576659132524, 'HR@5': 0.4006815968841285}","{'NDCG@5': 0.2523701020489893, 'HR@5': 0.36967494447809407}","{'NDCG@5': 0.23371919932939472, 'HR@5': 0.34889148191365227}","{'NDCG@5': 0.20723655069417277, 'HR@5': 0.3126628452318916}","{'NDCG@5': 0.1814185183987274, 'HR@5': 0.28040408003138484}","{'NDCG@5': 0.1554705779959654, 'HR@5': 0.24811030235162373}","{'NDCG@5': 0.13861189320349507, 'HR@5': 0.22576452076349457}","{'NDCG@5': 0.11841633344333, 'HR@5': 0.1961546328492534}","{'NDCG@5': 0.09012942189410408, 'HR@5': 0.15637775960752248}"
"{'NDCG@5': 0.30267143645946354, 'HR@5': 0.43465827852444955}","{'NDCG@5': 0.27760957282980453, 'HR@5': 0.4006815968841285}","{'NDCG@5': 0.25230529537362606, 'HR@5': 0.36947304663840097}","{'NDCG@5': 0.23410729119377396, 'HR@5': 0.34939156526087684}","{'NDCG@5': 0.20647010150463924, 'HR@5': 0.31096925482021887}","{'NDCG@5': 0.18174071726133859, 'HR@5': 0.28079639074146723}","{'NDCG@5': 0.1543666515253494, 'HR@5': 0.24657054871220604}","{'NDCG@5': 0.13808351482592462, 'HR@5': 0.2242594239584046}","{'NDCG@5': 0.1191048437802038, 'HR@5': 0.1979955001022704}","{'NDCG@5': 0.08965345686662997, 'HR@5': 0.15569637503406922}"
"{'NDCG@5': 0.3019682882772376, 'HR@5': 0.4303688876179583}","{'NDCG@5': 0.278692970666958, 'HR@5': 0.40092502434274585}","{'NDCG@5': 0.25070600051067743, 'HR@5': 0.36563698768423175}","{'NDCG@5': 0.23459566432517714, 'HR@5': 0.3500583430571762}","{'NDCG@5': 0.2062055041264067, 'HR@5': 0.3092756644085461}","{'NDCG@5': 0.18094137179676018, 'HR@5': 0.2787367595135347}","{'NDCG@5': 0.153710190136716, 'HR@5': 0.24531075027995522}","{'NDCG@5': 0.1376154799084247, 'HR@5': 0.2226859136621742}","{'NDCG@5': 0.11897683502480731, 'HR@5': 0.1978591395650099}","{'NDCG@5': 0.08824888822311054, 'HR@5': 0.15256200599618425}"
"{'NDCG@5': 0.301142109214227, 'HR@5': 0.42865313125536175}","{'NDCG@5': 0.27726428433618994, 'HR@5': 0.39824732229795523}","{'NDCG@5': 0.2514437517361074, 'HR@5': 0.36543508984453865}","{'NDCG@5': 0.23502494138731633, 'HR@5': 0.3505584264044007}","{'NDCG@5': 0.20590803316805717, 'HR@5': 0.30992704533611254}","{'NDCG@5': 0.17999074544438742, 'HR@5': 0.2748136524127109}","{'NDCG@5': 0.15322907833896557, 'HR@5': 0.24391097424412095}","{'NDCG@5': 0.13742944472443094, 'HR@5': 0.2224806731887528}","{'NDCG@5': 0.11898555417490055, 'HR@5': 0.19758641849048886}","{'NDCG@5': 0.08867442008941075, 'HR@5': 0.1531752521122922}"
"{'NDCG@5': 0.30348755765493673, 'HR@5': 0.42893909064912783}","{'NDCG@5': 0.27947632893285473, 'HR@5': 0.39995131450827653}","{'NDCG@5': 0.25379629422295824, 'HR@5': 0.36927114879870787}","{'NDCG@5': 0.23439333895025546, 'HR@5': 0.34805800966827805}","{'NDCG@5': 0.20661066237161455, 'HR@5': 0.30914538822303284}","{'NDCG@5': 0.1791003004238914, 'HR@5': 0.2737347979599843}","{'NDCG@5': 0.1532046690115618, 'HR@5': 0.24146136618141098}","{'NDCG@5': 0.13619231147790195, 'HR@5': 0.21953889306971336}","{'NDCG@5': 0.11893766267659006, 'HR@5': 0.19608645258062316}","{'NDCG@5': 0.08904408858245416, 'HR@5': 0.15283455982556554}"
"{'NDCG@5': 0.3020108218171716, 'HR@5': 0.42779525307406346}","{'NDCG@5': 0.2814683051398004, 'HR@5': 0.4023855890944499}","{'NDCG@5': 0.2548410342440452, 'HR@5': 0.36927114879870787}","{'NDCG@5': 0.2355919585217753, 'HR@5': 0.34889148191365227}","{'NDCG@5': 0.20899376911381515, 'HR@5': 0.31018759770713916}","{'NDCG@5': 0.1798945713646557, 'HR@5': 0.2719693997646136}","{'NDCG@5': 0.15329594527501833, 'HR@5': 0.2405515117581187}","{'NDCG@5': 0.13617659702152293, 'HR@5': 0.21810220975576383}","{'NDCG@5': 0.11867472563185405, 'HR@5': 0.19451830640212722}","{'NDCG@5': 0.08826686107431508, 'HR@5': 0.15065412919051513}"
"{'NDCG@5': 0.3061343761862319, 'HR@5': 0.42951100943666}","{'NDCG@5': 0.284444119268169, 'HR@5': 0.4014118792599805}","{'NDCG@5': 0.25753168433861134, 'HR@5': 0.3722996163941046}","{'NDCG@5': 0.2349473593535706, 'HR@5': 0.34705784297382897}","{'NDCG@5': 0.20973356948078334, 'HR@5': 0.31096925482021887}","{'NDCG@5': 0.18019301182741845, 'HR@5': 0.27020400156924285}","{'NDCG@5': 0.1533544290023361, 'HR@5': 0.240971444568869}","{'NDCG@5': 0.1371081385544756, 'HR@5': 0.21878634466716837}","{'NDCG@5': 0.11891180132006551, 'HR@5': 0.1939046839844549}","{'NDCG@5': 0.08844287895976798, 'HR@5': 0.14915508312891795}"
"{'NDCG@5': 0.3050479803449587, 'HR@5': 0.43208464398055474}","{'NDCG@5': 0.2845384086320718, 'HR@5': 0.40287244401168454}","{'NDCG@5': 0.25638558377596776, 'HR@5': 0.37169392287502523}","{'NDCG@5': 0.23733470934802928, 'HR@5': 0.3503917319553259}","{'NDCG@5': 0.21130788823950067, 'HR@5': 0.3137050547159979}","{'NDCG@5': 0.18344314311302898, 'HR@5': 0.27579442918791686}","{'NDCG@5': 0.15564297787054054, 'HR@5': 0.24349104143337066}","{'NDCG@5': 0.13882842051487412, 'HR@5': 0.22097557638366286}","{'NDCG@5': 0.12079636275295597, 'HR@5': 0.19588191177473238}","{'NDCG@5': 0.0900644619607094, 'HR@5': 0.1505859907331698}"
"{'NDCG@5': 0.3081479225172644, 'HR@5': 0.43380040034315126}","{'NDCG@5': 0.28707809988278976, 'HR@5': 0.4060370009737098}","{'NDCG@5': 0.26078730201963907, 'HR@5': 0.37431859479103574}","{'NDCG@5': 0.24031131073850143, 'HR@5': 0.3500583430571762}","{'NDCG@5': 0.2140640638511867, 'HR@5': 0.31513809275664406}","{'NDCG@5': 0.18571295792271347, 'HR@5': 0.27795213809336994}","{'NDCG@5': 0.1583178177510352, 'HR@5': 0.24622060470324747}","{'NDCG@5': 0.14070506265911123, 'HR@5': 0.2224806731887528}","{'NDCG@5': 0.12068520436305233, 'HR@5': 0.19479102747664825}","{'NDCG@5': 0.09199293680187762, 'HR@5': 0.1531752521122922}"
