test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.41225300462667847, 'HR@5': 0.5387474978553045}","{'NDCG@5': 0.382996280614378, 'HR@5': 0.5053554040895814}","{'NDCG@5': 0.3585013577017067, 'HR@5': 0.4764789016757521}","{'NDCG@5': 0.3477887921120545, 'HR@5': 0.4644107351225204}","{'NDCG@5': 0.3206076765162881, 'HR@5': 0.42886920270974466}","{'NDCG@5': 0.2986446850362914, 'HR@5': 0.39741074931345627}","{'NDCG@5': 0.2837532493604874, 'HR@5': 0.3784994400895857}","{'NDCG@5': 0.2777892477704226, 'HR@5': 0.3697065061230075}","{'NDCG@5': 0.2606462930431173, 'HR@5': 0.34969659780459533}","{'NDCG@5': 0.22325228319856408, 'HR@5': 0.297696920141728}"
"{'NDCG@5': 0.41134612778058954, 'HR@5': 0.537031741492708}","{'NDCG@5': 0.38270673894886365, 'HR@5': 0.5075462512171373}","{'NDCG@5': 0.35878944668819934, 'HR@5': 0.4793054714314557}","{'NDCG@5': 0.3468076624889543, 'HR@5': 0.4617436239373229}","{'NDCG@5': 0.31912404301177094, 'HR@5': 0.42795726941115164}","{'NDCG@5': 0.2993067232306689, 'HR@5': 0.3982934484111416}","{'NDCG@5': 0.28392915702416316, 'HR@5': 0.37800951847704367}","{'NDCG@5': 0.27890375940898443, 'HR@5': 0.3714852568926592}","{'NDCG@5': 0.260788576822253, 'HR@5': 0.35017385968500714}","{'NDCG@5': 0.22245918561968742, 'HR@5': 0.2961297356227855}"
"{'NDCG@5': 0.4105726815789809, 'HR@5': 0.5381755790677724}","{'NDCG@5': 0.3813863844451668, 'HR@5': 0.50730282375852}","{'NDCG@5': 0.35745008757710417, 'HR@5': 0.47728649303452453}","{'NDCG@5': 0.3463080563878631, 'HR@5': 0.46274379063177196}","{'NDCG@5': 0.3192288325318807, 'HR@5': 0.42886920270974466}","{'NDCG@5': 0.29851867946425725, 'HR@5': 0.3972145939584151}","{'NDCG@5': 0.28272609379134916, 'HR@5': 0.37674972004479285}","{'NDCG@5': 0.2781998594297331, 'HR@5': 0.3719641513306424}","{'NDCG@5': 0.2601057693458236, 'HR@5': 0.3495602372673348}","{'NDCG@5': 0.22209815221063287, 'HR@5': 0.29599345870809485}"
"{'NDCG@5': 0.40945086700869576, 'HR@5': 0.5350300257363454}","{'NDCG@5': 0.38194891360377414, 'HR@5': 0.5048685491723467}","{'NDCG@5': 0.3597948922201297, 'HR@5': 0.48152634766807995}","{'NDCG@5': 0.3458734444752475, 'HR@5': 0.4614102350391732}","{'NDCG@5': 0.3194719308795876, 'HR@5': 0.43004168837936424}","{'NDCG@5': 0.29769992407961415, 'HR@5': 0.39495880737544137}","{'NDCG@5': 0.28411747357473155, 'HR@5': 0.3794092945128779}","{'NDCG@5': 0.27906119930152723, 'HR@5': 0.3729903536977492}","{'NDCG@5': 0.2597146277462989, 'HR@5': 0.3486057135065112}","{'NDCG@5': 0.22218738650170616, 'HR@5': 0.2959253202507495}"
"{'NDCG@5': 0.4087541020996144, 'HR@5': 0.5356019445238777}","{'NDCG@5': 0.3808973365977643, 'HR@5': 0.505111976630964}","{'NDCG@5': 0.3592116726747703, 'HR@5': 0.4795073692711488}","{'NDCG@5': 0.3447002632622133, 'HR@5': 0.461576929488248}","{'NDCG@5': 0.318436056069457, 'HR@5': 0.42782699322563833}","{'NDCG@5': 0.2984178201061262, 'HR@5': 0.39652805021577087}","{'NDCG@5': 0.2837289479136395, 'HR@5': 0.3791293393057111}","{'NDCG@5': 0.2785035902596811, 'HR@5': 0.3716904973660806}","{'NDCG@5': 0.25987142153886117, 'HR@5': 0.3484693529692507}","{'NDCG@5': 0.2217227910220726, 'HR@5': 0.29517579721995096}"
"{'NDCG@5': 0.40914052317060545, 'HR@5': 0.5356019445238777}","{'NDCG@5': 0.38193409329386674, 'HR@5': 0.505842259006816}","{'NDCG@5': 0.360793256532751, 'HR@5': 0.4821320411871593}","{'NDCG@5': 0.3443159490509247, 'HR@5': 0.46124354059009837}","{'NDCG@5': 0.31858130453147226, 'HR@5': 0.4283480979676915}","{'NDCG@5': 0.2987170873752978, 'HR@5': 0.39750882699097684}","{'NDCG@5': 0.2840375286526576, 'HR@5': 0.37905935050391937}","{'NDCG@5': 0.2779915343029592, 'HR@5': 0.3714852568926592}","{'NDCG@5': 0.2604029306376512, 'HR@5': 0.34901479511829275}","{'NDCG@5': 0.2215867918893425, 'HR@5': 0.294562551103843}"
"{'NDCG@5': 0.40853059479357684, 'HR@5': 0.533600228767515}","{'NDCG@5': 0.3810049274429124, 'HR@5': 0.501460564751704}","{'NDCG@5': 0.36047951884233514, 'HR@5': 0.48132444982838685}","{'NDCG@5': 0.343334221527681, 'HR@5': 0.4589098183030505}","{'NDCG@5': 0.3185009620944779, 'HR@5': 0.4283480979676915}","{'NDCG@5': 0.29959352170608794, 'HR@5': 0.39839152608866224}","{'NDCG@5': 0.28510646282674446, 'HR@5': 0.3794792833146697}","{'NDCG@5': 0.2781547286171139, 'HR@5': 0.37114318943695696}","{'NDCG@5': 0.2597588185175005, 'HR@5': 0.3481284516260994}","{'NDCG@5': 0.22185389052474266, 'HR@5': 0.2950395203052603}"
"{'NDCG@5': 0.41111310861273304, 'HR@5': 0.537031741492708}","{'NDCG@5': 0.38158451421950695, 'HR@5': 0.5031645569620253}","{'NDCG@5': 0.3608056893031955, 'HR@5': 0.48293963254593175}","{'NDCG@5': 0.3429891094438017, 'HR@5': 0.4592432072012002}","{'NDCG@5': 0.3188592632500499, 'HR@5': 0.42795726941115164}","{'NDCG@5': 0.3002548562636413, 'HR@5': 0.39986269125147117}","{'NDCG@5': 0.28520720824679974, 'HR@5': 0.37891937290033595}","{'NDCG@5': 0.2794789604462198, 'HR@5': 0.37360607511801325}","{'NDCG@5': 0.26043606190669333, 'HR@5': 0.348810254312402}","{'NDCG@5': 0.22279176762092626, 'HR@5': 0.29681112019623873}"
"{'NDCG@5': 0.4112115181577092, 'HR@5': 0.536745782098942}","{'NDCG@5': 0.3838025026740918, 'HR@5': 0.5041382667964946}","{'NDCG@5': 0.36144104272800476, 'HR@5': 0.4821320411871593}","{'NDCG@5': 0.34205749909214844, 'HR@5': 0.45874312385397564}","{'NDCG@5': 0.31918549484870334, 'HR@5': 0.42965085982282436}","{'NDCG@5': 0.2998094415935917, 'HR@5': 0.3992742251863476}","{'NDCG@5': 0.28525497162585356, 'HR@5': 0.3793393057110862}","{'NDCG@5': 0.2789752241283685, 'HR@5': 0.3724430457686256}","{'NDCG@5': 0.2601132006400063, 'HR@5': 0.3477875502829481}","{'NDCG@5': 0.22263611859502797, 'HR@5': 0.29653856636685744}"
"{'NDCG@5': 0.4106058485057644, 'HR@5': 0.5364598227051759}","{'NDCG@5': 0.38484515835716104, 'HR@5': 0.5065725413826679}","{'NDCG@5': 0.3617484545121837, 'HR@5': 0.4809206541490006}","{'NDCG@5': 0.34308736373674076, 'HR@5': 0.4597432905484247}","{'NDCG@5': 0.31806881032657025, 'HR@5': 0.42678478374153206}","{'NDCG@5': 0.30047273791613655, 'HR@5': 0.39976461357395054}","{'NDCG@5': 0.285304230857333, 'HR@5': 0.3791993281075028}","{'NDCG@5': 0.2790791154414463, 'HR@5': 0.3725798727509065}","{'NDCG@5': 0.2602762220287298, 'HR@5': 0.3486057135065112}","{'NDCG@5': 0.223599926030685, 'HR@5': 0.29783319705641864}"
"{'NDCG@5': 0.41355794033980786, 'HR@5': 0.5398913354303689}","{'NDCG@5': 0.3847271635678374, 'HR@5': 0.5060856864654333}","{'NDCG@5': 0.3619632332537663, 'HR@5': 0.48011306279022814}","{'NDCG@5': 0.3430183343900782, 'HR@5': 0.4602433738956493}","{'NDCG@5': 0.31926986901703586, 'HR@5': 0.42965085982282436}","{'NDCG@5': 0.30146462715677935, 'HR@5': 0.4022165555119655}","{'NDCG@5': 0.28532697495727743, 'HR@5': 0.3796892497200448}","{'NDCG@5': 0.27966695852193774, 'HR@5': 0.3723062187863447}","{'NDCG@5': 0.26011338935335665, 'HR@5': 0.34785573055157837}","{'NDCG@5': 0.2238077708012746, 'HR@5': 0.2973562278550014}"
"{'NDCG@5': 0.41415800056603425, 'HR@5': 0.5410351730054332}","{'NDCG@5': 0.3849863291692978, 'HR@5': 0.50730282375852}","{'NDCG@5': 0.3631582690058502, 'HR@5': 0.4837472239047042}","{'NDCG@5': 0.34398660402057885, 'HR@5': 0.46191031838639773}","{'NDCG@5': 0.3190270799123722, 'HR@5': 0.42965085982282436}","{'NDCG@5': 0.3012009262938186, 'HR@5': 0.40231463318948607}","{'NDCG@5': 0.28543856187762856, 'HR@5': 0.3797592385218365}","{'NDCG@5': 0.28004073434877164, 'HR@5': 0.3728535267154683}","{'NDCG@5': 0.26054570703057556, 'HR@5': 0.34819663189472966}","{'NDCG@5': 0.22308954503944817, 'HR@5': 0.29633415099482147}"
"{'NDCG@5': 0.4145220295296697, 'HR@5': 0.5398913354303689}","{'NDCG@5': 0.38552931364292975, 'HR@5': 0.5075462512171373}","{'NDCG@5': 0.36181660126082554, 'HR@5': 0.48172824550777305}","{'NDCG@5': 0.34386284143108675, 'HR@5': 0.4597432905484247}","{'NDCG@5': 0.31880822050588353, 'HR@5': 0.4286086503387181}","{'NDCG@5': 0.3008158856233265, 'HR@5': 0.4007453903491565}","{'NDCG@5': 0.2853078871057452, 'HR@5': 0.3801791713325868}","{'NDCG@5': 0.2803389842985025, 'HR@5': 0.3729903536977492}","{'NDCG@5': 0.26011239118805146, 'HR@5': 0.34771937001431785}","{'NDCG@5': 0.2235580716909645, 'HR@5': 0.2966748432815481}"
"{'NDCG@5': 0.4153970077496324, 'HR@5': 0.5396053760366029}","{'NDCG@5': 0.384523423737608, 'HR@5': 0.5075462512171373}","{'NDCG@5': 0.36273318195013055, 'HR@5': 0.48314153038562485}","{'NDCG@5': 0.34426134952653054, 'HR@5': 0.4614102350391732}","{'NDCG@5': 0.31831860733772727, 'HR@5': 0.42678478374153206}","{'NDCG@5': 0.3015419326655602, 'HR@5': 0.4013338564142801}","{'NDCG@5': 0.28593334623840366, 'HR@5': 0.3801791713325868}","{'NDCG@5': 0.28078882435763897, 'HR@5': 0.373264007662311}","{'NDCG@5': 0.2602207624366101, 'HR@5': 0.3473102884025363}","{'NDCG@5': 0.2238526902731885, 'HR@5': 0.29783319705641864}"
"{'NDCG@5': 0.4154483603834232, 'HR@5': 0.5407492136116672}","{'NDCG@5': 0.3856316639222828, 'HR@5': 0.5070593962999026}","{'NDCG@5': 0.3629060088754039, 'HR@5': 0.48273773470623865}","{'NDCG@5': 0.3458453427087069, 'HR@5': 0.46274379063177196}","{'NDCG@5': 0.31860950474756605, 'HR@5': 0.42665450755601875}","{'NDCG@5': 0.3014639586826997, 'HR@5': 0.4011377010592389}","{'NDCG@5': 0.28671337834309174, 'HR@5': 0.3806690929451288}","{'NDCG@5': 0.28077996254978016, 'HR@5': 0.3725798727509065}","{'NDCG@5': 0.2609195372645862, 'HR@5': 0.3483329924319902}","{'NDCG@5': 0.2239776612529195, 'HR@5': 0.2985827200872172}"
"{'NDCG@5': 0.4154151415180282, 'HR@5': 0.5398913354303689}","{'NDCG@5': 0.3852106140781897, 'HR@5': 0.5077896786757546}","{'NDCG@5': 0.3648411875563957, 'HR@5': 0.48415101958409046}","{'NDCG@5': 0.3474088480840928, 'HR@5': 0.46457742957159526}","{'NDCG@5': 0.3190430547594516, 'HR@5': 0.42548202188639916}","{'NDCG@5': 0.3022358450346337, 'HR@5': 0.4019223224794037}","{'NDCG@5': 0.2865821635057588, 'HR@5': 0.3801791713325868}","{'NDCG@5': 0.2808314504254678, 'HR@5': 0.37278511322432784}","{'NDCG@5': 0.2621020741319928, 'HR@5': 0.3494238767300743}","{'NDCG@5': 0.2244156437800401, 'HR@5': 0.2985827200872172}"
"{'NDCG@5': 0.41738415488773745, 'HR@5': 0.5427509293680297}","{'NDCG@5': 0.38565894994821, 'HR@5': 0.5080331061343719}","{'NDCG@5': 0.36504566422210327, 'HR@5': 0.485160508782556}","{'NDCG@5': 0.3489827434311264, 'HR@5': 0.46641106851141856}","{'NDCG@5': 0.32045604335831923, 'HR@5': 0.4286086503387181}","{'NDCG@5': 0.3025512244390508, 'HR@5': 0.4013338564142801}","{'NDCG@5': 0.2876781855748722, 'HR@5': 0.3817889137737962}","{'NDCG@5': 0.28132909271418516, 'HR@5': 0.37292194020660874}","{'NDCG@5': 0.26214266629856386, 'HR@5': 0.34969659780459533}","{'NDCG@5': 0.22477332981793208, 'HR@5': 0.2987189970019079}"
"{'NDCG@5': 0.4172550274364076, 'HR@5': 0.5418930511867315}","{'NDCG@5': 0.3856600805108911, 'HR@5': 0.5085199610516066}","{'NDCG@5': 0.3657144508907835, 'HR@5': 0.48536240662224917}","{'NDCG@5': 0.349140927631586, 'HR@5': 0.4657442907151192}","{'NDCG@5': 0.32119572541714736, 'HR@5': 0.4295205836373111}","{'NDCG@5': 0.3029036266904168, 'HR@5': 0.40309925460965085}","{'NDCG@5': 0.28783777289058426, 'HR@5': 0.38227883538633817}","{'NDCG@5': 0.2817071590766208, 'HR@5': 0.37408496955599646}","{'NDCG@5': 0.26193011005630246, 'HR@5': 0.3494238767300743}","{'NDCG@5': 0.22404995362871252, 'HR@5': 0.29701553556827476}"
"{'NDCG@5': 0.4182937325868304, 'HR@5': 0.5441807263368602}","{'NDCG@5': 0.3868730205274109, 'HR@5': 0.5114410905550146}","{'NDCG@5': 0.36513215873178534, 'HR@5': 0.48596810014132846}","{'NDCG@5': 0.3495540331091264, 'HR@5': 0.4679113185530922}","{'NDCG@5': 0.3217256760795326, 'HR@5': 0.43017196456487755}","{'NDCG@5': 0.30299409280256756, 'HR@5': 0.40231463318948607}","{'NDCG@5': 0.28863210026170527, 'HR@5': 0.3837486002239642}","{'NDCG@5': 0.2820821671929092, 'HR@5': 0.3750427584319628}","{'NDCG@5': 0.26275196514713, 'HR@5': 0.35017385968500714}","{'NDCG@5': 0.22510529240407776, 'HR@5': 0.29878713545925323}"
"{'NDCG@5': 0.41959761270685847, 'HR@5': 0.5473262796682871}","{'NDCG@5': 0.387133455031031, 'HR@5': 0.5107108081791626}","{'NDCG@5': 0.36544784540502223, 'HR@5': 0.48596810014132846}","{'NDCG@5': 0.3489498789050029, 'HR@5': 0.46741123520586764}","{'NDCG@5': 0.3215369092096357, 'HR@5': 0.43095362167795725}","{'NDCG@5': 0.30291775148337785, 'HR@5': 0.40270694389956846}","{'NDCG@5': 0.28830973580121266, 'HR@5': 0.38262877939529677}","{'NDCG@5': 0.28216495735240954, 'HR@5': 0.3749059314496819}","{'NDCG@5': 0.26281895926713905, 'HR@5': 0.34983295834185585}","{'NDCG@5': 0.22529194772884054, 'HR@5': 0.2989915508312892}"
"{'NDCG@5': 0.41968909258684756, 'HR@5': 0.5464684014869888}","{'NDCG@5': 0.3878237861470711, 'HR@5': 0.5107108081791626}","{'NDCG@5': 0.3662221760484955, 'HR@5': 0.4875832828588734}","{'NDCG@5': 0.34955405925600164, 'HR@5': 0.4689114852475413}","{'NDCG@5': 0.32153286508371126, 'HR@5': 0.430823345492444}","{'NDCG@5': 0.3035031164844537, 'HR@5': 0.40251078854452726}","{'NDCG@5': 0.2889105220010968, 'HR@5': 0.38311870100783874}","{'NDCG@5': 0.2825323973389326, 'HR@5': 0.3751795854142437}","{'NDCG@5': 0.2629710426067569, 'HR@5': 0.3499011386104861}","{'NDCG@5': 0.22596852254015554, 'HR@5': 0.29946852003270646}"
"{'NDCG@5': 0.4218551468038415, 'HR@5': 0.5496139548184158}","{'NDCG@5': 0.38960183081631594, 'HR@5': 0.5143622200584226}","{'NDCG@5': 0.36706453856604637, 'HR@5': 0.4879870785382596}","{'NDCG@5': 0.34959116997173256, 'HR@5': 0.46824470745124186}","{'NDCG@5': 0.3231145907518548, 'HR@5': 0.4340802501302762}","{'NDCG@5': 0.3039706777964208, 'HR@5': 0.40309925460965085}","{'NDCG@5': 0.28883714097489765, 'HR@5': 0.384028555431131}","{'NDCG@5': 0.28283431312885954, 'HR@5': 0.37565847985222683}","{'NDCG@5': 0.26360426968132517, 'HR@5': 0.3514692847889821}","{'NDCG@5': 0.22547908326628247, 'HR@5': 0.29837830471518123}"
"{'NDCG@5': 0.4215615860335127, 'HR@5': 0.5481841578495854}","{'NDCG@5': 0.3886317591721454, 'HR@5': 0.5141187925998053}","{'NDCG@5': 0.3679300325242112, 'HR@5': 0.4875832828588734}","{'NDCG@5': 0.3502832538553232, 'HR@5': 0.47041173528921487}","{'NDCG@5': 0.3230401428671576, 'HR@5': 0.4338196977592496}","{'NDCG@5': 0.30428229331820617, 'HR@5': 0.403785798352295}","{'NDCG@5': 0.28939321998943845, 'HR@5': 0.3840985442329227}","{'NDCG@5': 0.28349245864742484, 'HR@5': 0.37668468221933366}","{'NDCG@5': 0.26400561559032504, 'HR@5': 0.35153746505761235}","{'NDCG@5': 0.22627310181057442, 'HR@5': 0.2992641046606705}"
"{'NDCG@5': 0.4215424340556614, 'HR@5': 0.5487560766371176}","{'NDCG@5': 0.38943010138708156, 'HR@5': 0.512414800389484}","{'NDCG@5': 0.36811927880221657, 'HR@5': 0.488592772057339}","{'NDCG@5': 0.35105894235600593, 'HR@5': 0.47107851308551424}","{'NDCG@5': 0.3230364205547715, 'HR@5': 0.4339499739447629}","{'NDCG@5': 0.3056156264809792, 'HR@5': 0.40613966261278933}","{'NDCG@5': 0.2896160042499347, 'HR@5': 0.38451847704367303}","{'NDCG@5': 0.2838625705986871, 'HR@5': 0.3774372306218786}","{'NDCG@5': 0.2648057404725679, 'HR@5': 0.353037430967478}","{'NDCG@5': 0.22701772731432465, 'HR@5': 0.30069501226492235}"
"{'NDCG@5': 0.42325145240444056, 'HR@5': 0.550185873605948}","{'NDCG@5': 0.38958998797142913, 'HR@5': 0.5131450827653359}","{'NDCG@5': 0.36781581706606586, 'HR@5': 0.48697758933979407}","{'NDCG@5': 0.35154761220380587, 'HR@5': 0.4720786797799633}","{'NDCG@5': 0.3239418608976478, 'HR@5': 0.4349921834288692}","{'NDCG@5': 0.3049671384664661, 'HR@5': 0.4054531188701452}","{'NDCG@5': 0.2904387402643793, 'HR@5': 0.38556830907054873}","{'NDCG@5': 0.28421856745988594, 'HR@5': 0.37736881713073817}","{'NDCG@5': 0.2647664821788233, 'HR@5': 0.353037430967478}","{'NDCG@5': 0.22707546893312405, 'HR@5': 0.300831289179613}"
"{'NDCG@5': 0.4225762089624865, 'HR@5': 0.5490420360308836}","{'NDCG@5': 0.39148463975965897, 'HR@5': 0.5158227848101266}","{'NDCG@5': 0.368551035455535, 'HR@5': 0.4883908742176459}","{'NDCG@5': 0.3526598389664435, 'HR@5': 0.4739123187197866}","{'NDCG@5': 0.3238791133968983, 'HR@5': 0.43486190724335594}","{'NDCG@5': 0.3054345171822346, 'HR@5': 0.4062377402903099}","{'NDCG@5': 0.2902284269447105, 'HR@5': 0.38535834266517355}","{'NDCG@5': 0.2849362485153375, 'HR@5': 0.3789423274269686}","{'NDCG@5': 0.2650412497071104, 'HR@5': 0.3526283493556965}","{'NDCG@5': 0.22807910880353638, 'HR@5': 0.30253475061324614}"
"{'NDCG@5': 0.4222135234220026, 'HR@5': 0.5513297111810123}","{'NDCG@5': 0.39081809481872604, 'HR@5': 0.5153359298928919}","{'NDCG@5': 0.3704005376857388, 'HR@5': 0.4912174439733495}","{'NDCG@5': 0.35352022555006263, 'HR@5': 0.47324554092348725}","{'NDCG@5': 0.3246274129755856, 'HR@5': 0.43551328817092233}","{'NDCG@5': 0.30565602639494277, 'HR@5': 0.4067281286779129}","{'NDCG@5': 0.28975450972996275, 'HR@5': 0.3849384098544233}","{'NDCG@5': 0.28455430848181285, 'HR@5': 0.3771635766573168}","{'NDCG@5': 0.2659134279833984, 'HR@5': 0.3538555941910411}","{'NDCG@5': 0.22852183488762626, 'HR@5': 0.3036249659307713}"
