test0,test1,test2,test3,test4
"{'NDCG@5': 0.2712181906478446, 'HR@5': 0.3721067085131424}","{'NDCG@5': 0.23929278558459277, 'HR@5': 0.3319568868980963}","{'NDCG@5': 0.215142365035263, 'HR@5': 0.30621878634466715}","{'NDCG@5': 0.18580370779110653, 'HR@5': 0.2711529283425377}","{'NDCG@5': 0.14518718572233427, 'HR@5': 0.21661215590079042}"
"{'NDCG@5': 0.27307590767534606, 'HR@5': 0.3738721067085131}","{'NDCG@5': 0.24058780773383984, 'HR@5': 0.333496640537514}","{'NDCG@5': 0.2169212659140815, 'HR@5': 0.30710816172949307}","{'NDCG@5': 0.18771990847039827, 'HR@5': 0.2734028772073362}","{'NDCG@5': 0.14654685804975234, 'HR@5': 0.2189970019078768}"
"{'NDCG@5': 0.2749446689402049, 'HR@5': 0.3757355825814045}","{'NDCG@5': 0.24078002698231893, 'HR@5': 0.33111702127659576}","{'NDCG@5': 0.2179253833356069, 'HR@5': 0.30827119107888074}","{'NDCG@5': 0.18645203112468212, 'HR@5': 0.27088020726801665}","{'NDCG@5': 0.14693734167934644, 'HR@5': 0.2184518942491142}"
"{'NDCG@5': 0.2759810055346678, 'HR@5': 0.3772067477442134}","{'NDCG@5': 0.2424875886680712, 'HR@5': 0.3335666293393057}","{'NDCG@5': 0.2190232883732972, 'HR@5': 0.31011835533967297}","{'NDCG@5': 0.18812493742547676, 'HR@5': 0.2732665166700757}","{'NDCG@5': 0.14780776455765382, 'HR@5': 0.220087217225402}"
"{'NDCG@5': 0.27700829192619986, 'HR@5': 0.37907022361710474}","{'NDCG@5': 0.2440542100200242, 'HR@5': 0.3356662933930571}","{'NDCG@5': 0.2203194633197379, 'HR@5': 0.3115550386536225}","{'NDCG@5': 0.1889957169951614, 'HR@5': 0.2740164996250085}","{'NDCG@5': 0.1489230696177988, 'HR@5': 0.2208367402562006}"
"{'NDCG@5': 0.27757699175874667, 'HR@5': 0.37936445664966656}","{'NDCG@5': 0.2450392087268458, 'HR@5': 0.33783594624860025}","{'NDCG@5': 0.22073388736127306, 'HR@5': 0.3104604227953752}","{'NDCG@5': 0.18941965191381158, 'HR@5': 0.2745619417740506}","{'NDCG@5': 0.14988550035031928, 'HR@5': 0.22260834014717906}"
"{'NDCG@5': 0.2782031864156587, 'HR@5': 0.37946253432718713}","{'NDCG@5': 0.2467591253549619, 'HR@5': 0.3397956326987682}","{'NDCG@5': 0.2214711606813012, 'HR@5': 0.3121023465827461}","{'NDCG@5': 0.19103544134098502, 'HR@5': 0.27674371037021883}","{'NDCG@5': 0.14991681917166472, 'HR@5': 0.22179067865903515}"
"{'NDCG@5': 0.2792343769676226, 'HR@5': 0.38073754413495486}","{'NDCG@5': 0.24704457779609024, 'HR@5': 0.33958566629339304}","{'NDCG@5': 0.22295593438768962, 'HR@5': 0.3116918656359034}","{'NDCG@5': 0.19166306200356256, 'HR@5': 0.27640280902706754}","{'NDCG@5': 0.15082000270613646, 'HR@5': 0.22219950940310712}"
"{'NDCG@5': 0.2795577935387646, 'HR@5': 0.3806394664574343}","{'NDCG@5': 0.24860422815961408, 'HR@5': 0.3413353863381859}","{'NDCG@5': 0.22465698437432424, 'HR@5': 0.3149072997195047}","{'NDCG@5': 0.19250246236070145, 'HR@5': 0.2783118565487148}","{'NDCG@5': 0.1522874046256629, 'HR@5': 0.22390297083674027}"
"{'NDCG@5': 0.2800587524454388, 'HR@5': 0.3829933307179286}","{'NDCG@5': 0.24982044105344323, 'HR@5': 0.3423852183650616}","{'NDCG@5': 0.22429425481467433, 'HR@5': 0.31470205924608335}","{'NDCG@5': 0.19324065897576184, 'HR@5': 0.27892547896638714}","{'NDCG@5': 0.15353662119858905, 'HR@5': 0.22547015535568274}"
"{'NDCG@5': 0.2802912698044281, 'HR@5': 0.38260102000784624}","{'NDCG@5': 0.2502947054111772, 'HR@5': 0.3437150055991041}","{'NDCG@5': 0.2239679408793951, 'HR@5': 0.31422316480810014}","{'NDCG@5': 0.19297324491765858, 'HR@5': 0.2780391354741938}","{'NDCG@5': 0.152259543145989, 'HR@5': 0.2237666939220496}"
"{'NDCG@5': 0.281631017795996, 'HR@5': 0.3847587289132993}","{'NDCG@5': 0.2506165538195365, 'HR@5': 0.34434490481522956}","{'NDCG@5': 0.22552686649161863, 'HR@5': 0.3164808100157351}","{'NDCG@5': 0.19367418929553643, 'HR@5': 0.2798118224585805}","{'NDCG@5': 0.15329082452580972, 'HR@5': 0.22512946306895612}"
"{'NDCG@5': 0.2819383685162774, 'HR@5': 0.3855433503334641}","{'NDCG@5': 0.2519324575210635, 'HR@5': 0.344974804031355}","{'NDCG@5': 0.22614654117500774, 'HR@5': 0.3180543203119655}","{'NDCG@5': 0.19380326151860763, 'HR@5': 0.27967546192132}","{'NDCG@5': 0.15352532955766282, 'HR@5': 0.22560643227037339}"
"{'NDCG@5': 0.28255389392424196, 'HR@5': 0.3860337387210671}","{'NDCG@5': 0.254102944349088, 'HR@5': 0.34637458006718924}","{'NDCG@5': 0.2272285272302284, 'HR@5': 0.31921734966135323}","{'NDCG@5': 0.19471252620428098, 'HR@5': 0.2813799686370764}","{'NDCG@5': 0.1540088974517823, 'HR@5': 0.22553829381302806}"
"{'NDCG@5': 0.283777520574985, 'HR@5': 0.387014515496273}","{'NDCG@5': 0.2541400270599102, 'HR@5': 0.346934490481523}","{'NDCG@5': 0.2280106084495263, 'HR@5': 0.3187384552233701}","{'NDCG@5': 0.19428734573882026, 'HR@5': 0.2804254448762528}","{'NDCG@5': 0.1542554379098058, 'HR@5': 0.22621967838648133}"
"{'NDCG@5': 0.284869532272952, 'HR@5': 0.3892703020792468}","{'NDCG@5': 0.255125169527786, 'HR@5': 0.34735442329227323}","{'NDCG@5': 0.2282002102993146, 'HR@5': 0.31935417664363414}","{'NDCG@5': 0.1948604919613567, 'HR@5': 0.2813799686370764}","{'NDCG@5': 0.15432632485638695, 'HR@5': 0.22758244753338785}"
"{'NDCG@5': 0.28655367099266993, 'HR@5': 0.3907414672420557}","{'NDCG@5': 0.25568551010958285, 'HR@5': 0.3477043673012318}","{'NDCG@5': 0.22759240284721144, 'HR@5': 0.31921734966135323}","{'NDCG@5': 0.19505864500994133, 'HR@5': 0.2824026726665303}","{'NDCG@5': 0.15521697657024258, 'HR@5': 0.22792313982011447}"
"{'NDCG@5': 0.28509677969017405, 'HR@5': 0.38995684582189094}","{'NDCG@5': 0.256221013309381, 'HR@5': 0.34896416573348266}","{'NDCG@5': 0.22746257848405185, 'HR@5': 0.318875282205651}","{'NDCG@5': 0.19438115515229065, 'HR@5': 0.2821981318606395}","{'NDCG@5': 0.15465274251863834, 'HR@5': 0.2282638321068411}"
