test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.3253010277481662, 'HR@5': 0.4483843294252216}","{'NDCG@5': 0.3045243286812811, 'HR@5': 0.4259980525803311}","{'NDCG@5': 0.2876285117452921, 'HR@5': 0.4029880880274581}","{'NDCG@5': 0.2657837859193237, 'HR@5': 0.37322887147857975}","{'NDCG@5': 0.23328106613148888, 'HR@5': 0.33663366336633666}","{'NDCG@5': 0.20171298634498488, 'HR@5': 0.29746959591996863}","{'NDCG@5': 0.17521301489917449, 'HR@5': 0.2630879059350504}","{'NDCG@5': 0.16480319373672003, 'HR@5': 0.24806731887528222}","{'NDCG@5': 0.15200300725560942, 'HR@5': 0.22867662098588667}","{'NDCG@5': 0.12008430003259941, 'HR@5': 0.18445080403379668}"
"{'NDCG@5': 0.3333688248556104, 'HR@5': 0.4521018015441807}","{'NDCG@5': 0.31316433977028896, 'HR@5': 0.42843232716650437}","{'NDCG@5': 0.2891286403712849, 'HR@5': 0.39975772259236825}","{'NDCG@5': 0.2727547483226896, 'HR@5': 0.37606267711285213}","{'NDCG@5': 0.23441815099900284, 'HR@5': 0.33272537780093797}","{'NDCG@5': 0.21203767882188468, 'HR@5': 0.3059042761867399}","{'NDCG@5': 0.18189652726658037, 'HR@5': 0.2679871220604703}","{'NDCG@5': 0.17296226100723133, 'HR@5': 0.25319833071081616}","{'NDCG@5': 0.15403490990618368, 'HR@5': 0.2284720801799959}","{'NDCG@5': 0.12216873616288479, 'HR@5': 0.18601798855273916}"
"{'NDCG@5': 0.33693232839545423, 'HR@5': 0.4566771518444381}","{'NDCG@5': 0.31763266524016964, 'HR@5': 0.433300876338851}","{'NDCG@5': 0.294920960319948, 'HR@5': 0.4050070664243893}","{'NDCG@5': 0.2735489838092462, 'HR@5': 0.37272878813135524}","{'NDCG@5': 0.24026315945981871, 'HR@5': 0.3388483585200625}","{'NDCG@5': 0.21103170681032193, 'HR@5': 0.30139270302079246}","{'NDCG@5': 0.18056833429378463, 'HR@5': 0.26490761478163494}","{'NDCG@5': 0.17287810636706538, 'HR@5': 0.252719436272833}","{'NDCG@5': 0.15267318837778673, 'HR@5': 0.22594941024067636}","{'NDCG@5': 0.12075729863243043, 'HR@5': 0.18043063505042245}"
"{'NDCG@5': 0.3416209588887583, 'HR@5': 0.4601086645696311}","{'NDCG@5': 0.3207320140694668, 'HR@5': 0.4301363193768257}","{'NDCG@5': 0.2936945155589679, 'HR@5': 0.40541086210377547}","{'NDCG@5': 0.2734961349638577, 'HR@5': 0.3770628438073012}","{'NDCG@5': 0.24442606994100827, 'HR@5': 0.33858780614903594}","{'NDCG@5': 0.21377385964155796, 'HR@5': 0.3014907806983131}","{'NDCG@5': 0.18074087507015438, 'HR@5': 0.2655375139977604}","{'NDCG@5': 0.17191363059746456, 'HR@5': 0.25100909899432167}","{'NDCG@5': 0.15090176439017614, 'HR@5': 0.2248585259425922}","{'NDCG@5': 0.1176908940712303, 'HR@5': 0.17825020441537204}"
"{'NDCG@5': 0.34754323166411244, 'HR@5': 0.4641120960823563}","{'NDCG@5': 0.318728496831898, 'HR@5': 0.4286757546251217}","{'NDCG@5': 0.2890694836080782, 'HR@5': 0.39511407227942663}","{'NDCG@5': 0.27347327220595913, 'HR@5': 0.37356226037672946}","{'NDCG@5': 0.243977469244214, 'HR@5': 0.34210526315789475}","{'NDCG@5': 0.21047014839224149, 'HR@5': 0.29894076108277756}","{'NDCG@5': 0.17808760117608619, 'HR@5': 0.26182810750279956}","{'NDCG@5': 0.16416360346822062, 'HR@5': 0.24040500786755148}","{'NDCG@5': 0.14611915553105037, 'HR@5': 0.21804049907956638}","{'NDCG@5': 0.111761724294475, 'HR@5': 0.169664758789861}"
"{'NDCG@5': 0.35368003764279626, 'HR@5': 0.46582785244495284}","{'NDCG@5': 0.32744736715130157, 'HR@5': 0.43378773125608566}","{'NDCG@5': 0.29840801182496685, 'HR@5': 0.4068241469816273}","{'NDCG@5': 0.27772407951931105, 'HR@5': 0.3793965660943491}","{'NDCG@5': 0.2490591629864796, 'HR@5': 0.3469254820218864}","{'NDCG@5': 0.21700678892322162, 'HR@5': 0.30963122793252257}","{'NDCG@5': 0.18624818042697563, 'HR@5': 0.2714165733482643}","{'NDCG@5': 0.1694059616832642, 'HR@5': 0.24738318396387768}","{'NDCG@5': 0.15185577306593778, 'HR@5': 0.2222676757346424}","{'NDCG@5': 0.11603829600901887, 'HR@5': 0.17307168165712727}"
"{'NDCG@5': 0.3614805604736368, 'HR@5': 0.47669430940806407}","{'NDCG@5': 0.3299970672277531, 'HR@5': 0.43865628042843235}","{'NDCG@5': 0.303103817115275, 'HR@5': 0.41267918433272766}","{'NDCG@5': 0.28289981192560765, 'HR@5': 0.384897482913819}","{'NDCG@5': 0.2523724498064021, 'HR@5': 0.3501823866597186}","{'NDCG@5': 0.22127521940203548, 'HR@5': 0.3114947038054139}","{'NDCG@5': 0.18694115013202736, 'HR@5': 0.2712765957446808}","{'NDCG@5': 0.17215739321124796, 'HR@5': 0.24840938633098447}","{'NDCG@5': 0.15087163146184768, 'HR@5': 0.22342674030135679}","{'NDCG@5': 0.11474982348095962, 'HR@5': 0.17211774325429272}"
"{'NDCG@5': 0.3527442301524516, 'HR@5': 0.4724049185015728}","{'NDCG@5': 0.32815261402118673, 'HR@5': 0.4379259980525803}","{'NDCG@5': 0.30149630501727603, 'HR@5': 0.4062184534625479}","{'NDCG@5': 0.2840335384236537, 'HR@5': 0.38223037172862145}","{'NDCG@5': 0.2544015149812908, 'HR@5': 0.3542209484106305}","{'NDCG@5': 0.21957395415243688, 'HR@5': 0.30776775205963125}","{'NDCG@5': 0.185130624454267, 'HR@5': 0.270996640537514}","{'NDCG@5': 0.17111978378546813, 'HR@5': 0.25128275295888347}","{'NDCG@5': 0.1495133532666139, 'HR@5': 0.22199495466012137}","{'NDCG@5': 0.11318517529227047, 'HR@5': 0.17279912782774598}"
"{'NDCG@5': 0.3567563564046106, 'HR@5': 0.4661138118387189}","{'NDCG@5': 0.3284836517058946, 'HR@5': 0.43938656280428434}","{'NDCG@5': 0.3011144108252817, 'HR@5': 0.4019785988289925}","{'NDCG@5': 0.2814122238150216, 'HR@5': 0.38039673278879815}","{'NDCG@5': 0.24810309628527247, 'HR@5': 0.342235539343408}","{'NDCG@5': 0.21718071055783725, 'HR@5': 0.30688505296194585}","{'NDCG@5': 0.18507062095571158, 'HR@5': 0.27022676371780513}","{'NDCG@5': 0.1672443271532779, 'HR@5': 0.24464664431825955}","{'NDCG@5': 0.1490560157513294, 'HR@5': 0.22035862821299515}","{'NDCG@5': 0.11476148158326337, 'HR@5': 0.1744344508040338}"
"{'NDCG@5': 0.3617180831147307, 'HR@5': 0.46868744638261367}","{'NDCG@5': 0.33848375385325347, 'HR@5': 0.4462025316455696}","{'NDCG@5': 0.3087692187795723, 'HR@5': 0.41590954976781747}","{'NDCG@5': 0.2867766913197609, 'HR@5': 0.3883980663443907}","{'NDCG@5': 0.25340347978285505, 'HR@5': 0.3503126628452319}","{'NDCG@5': 0.22436616974083992, 'HR@5': 0.31502550019615533}","{'NDCG@5': 0.1916210477096385, 'HR@5': 0.27820548712206045}","{'NDCG@5': 0.17804826696420073, 'HR@5': 0.25682424574126017}","{'NDCG@5': 0.15775580858459365, 'HR@5': 0.23147201199972728}","{'NDCG@5': 0.12290253909695366, 'HR@5': 0.18431452711910604}"
