test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.34651907558913597, 'HR@5': 0.4681155275950815}","{'NDCG@5': 0.311889219659046, 'HR@5': 0.4247809152872444}","{'NDCG@5': 0.28425016653494023, 'HR@5': 0.3898647284474056}","{'NDCG@5': 0.2659671599258979, 'HR@5': 0.36722787131188533}","{'NDCG@5': 0.23393877859349463, 'HR@5': 0.33220427305888484}","{'NDCG@5': 0.21033489252777013, 'HR@5': 0.30198116908591605}","{'NDCG@5': 0.17766594698576837, 'HR@5': 0.260988241881299}","{'NDCG@5': 0.15721816084062712, 'HR@5': 0.2365738523636861}","{'NDCG@5': 0.13394666336891364, 'HR@5': 0.20501806777118703}","{'NDCG@5': 0.10220953641671646, 'HR@5': 0.16087489779231398}"
"{'NDCG@5': 0.3505285661266198, 'HR@5': 0.4701172433514441}","{'NDCG@5': 0.3161302636767556, 'HR@5': 0.42745861733203505}","{'NDCG@5': 0.28761181272015623, 'HR@5': 0.3924894003634161}","{'NDCG@5': 0.2688277427097038, 'HR@5': 0.3710618436406068}","{'NDCG@5': 0.23602381946528037, 'HR@5': 0.3333767587285044}","{'NDCG@5': 0.2106664286831973, 'HR@5': 0.3009023146331895}","{'NDCG@5': 0.17998464426201685, 'HR@5': 0.26441769316909297}","{'NDCG@5': 0.1588634920552218, 'HR@5': 0.23780529520421428}","{'NDCG@5': 0.13441232359186048, 'HR@5': 0.20624531260653167}","{'NDCG@5': 0.10282445880858573, 'HR@5': 0.16073862087762333}"
"{'NDCG@5': 0.3514129556208615, 'HR@5': 0.4715470403202745}","{'NDCG@5': 0.31581936712439507, 'HR@5': 0.4247809152872444}","{'NDCG@5': 0.28863554308464, 'HR@5': 0.39349888956188167}","{'NDCG@5': 0.26930907699235945, 'HR@5': 0.371895315885981}","{'NDCG@5': 0.2355725907848194, 'HR@5': 0.3348097967691506}","{'NDCG@5': 0.20870640433941598, 'HR@5': 0.2976657512750098}","{'NDCG@5': 0.17973750340543412, 'HR@5': 0.2631578947368421}","{'NDCG@5': 0.15712862427110058, 'HR@5': 0.2360265444345625}","{'NDCG@5': 0.1334483539813239, 'HR@5': 0.204745346696666}","{'NDCG@5': 0.101575013035592, 'HR@5': 0.1598528209321341}"
"{'NDCG@5': 0.3523686666869897, 'HR@5': 0.4684014869888476}","{'NDCG@5': 0.3183351722077138, 'HR@5': 0.42575462512171375}","{'NDCG@5': 0.2908154364492685, 'HR@5': 0.3959216636381991}","{'NDCG@5': 0.2684923746638696, 'HR@5': 0.3707284547424571}","{'NDCG@5': 0.23541812236462054, 'HR@5': 0.3328556539864513}","{'NDCG@5': 0.20954769924499014, 'HR@5': 0.29688112985484505}","{'NDCG@5': 0.1787771037565885, 'HR@5': 0.2611282194848824}","{'NDCG@5': 0.15659090926848962, 'HR@5': 0.23329000478894438}","{'NDCG@5': 0.13237832555268925, 'HR@5': 0.20263175836912797}","{'NDCG@5': 0.10042715281796243, 'HR@5': 0.157536113382393}"
"{'NDCG@5': 0.35321778482838456, 'HR@5': 0.46668573062625107}","{'NDCG@5': 0.31444413288820217, 'HR@5': 0.4189386562804284}","{'NDCG@5': 0.29191257122240477, 'HR@5': 0.3985463355542096}","{'NDCG@5': 0.2684194641097393, 'HR@5': 0.3707284547424571}","{'NDCG@5': 0.2367335868224609, 'HR@5': 0.33194372068785827}","{'NDCG@5': 0.2099714942221939, 'HR@5': 0.2979599843075716}","{'NDCG@5': 0.17963351702472266, 'HR@5': 0.2610582306830907}","{'NDCG@5': 0.15737289016627237, 'HR@5': 0.23404255319148937}","{'NDCG@5': 0.13379097297263745, 'HR@5': 0.2050862480398173}","{'NDCG@5': 0.10132928162513578, 'HR@5': 0.15849005178522757}"
"{'NDCG@5': 0.35263164430659866, 'HR@5': 0.4623963397197598}","{'NDCG@5': 0.317369780232005, 'HR@5': 0.4252677702044791}","{'NDCG@5': 0.29333470415718715, 'HR@5': 0.39814253987482334}","{'NDCG@5': 0.2700750513917486, 'HR@5': 0.3692282047007835}","{'NDCG@5': 0.2356473651195537, 'HR@5': 0.3302501302761855}","{'NDCG@5': 0.20922931810365333, 'HR@5': 0.29560612004707726}","{'NDCG@5': 0.18020337864203084, 'HR@5': 0.26140817469204924}","{'NDCG@5': 0.15811163452138233, 'HR@5': 0.2348635150851748}","{'NDCG@5': 0.1336178512692452, 'HR@5': 0.20174541487693462}","{'NDCG@5': 0.1012268896386154, 'HR@5': 0.15739983646770236}"
"{'NDCG@5': 0.3527359427024095, 'HR@5': 0.46496997426365455}","{'NDCG@5': 0.31984580207865126, 'HR@5': 0.42648490749756574}","{'NDCG@5': 0.2947128107330077, 'HR@5': 0.39834443771451644}","{'NDCG@5': 0.2695233455191313, 'HR@5': 0.36806134355725956}","{'NDCG@5': 0.23474177347764444, 'HR@5': 0.3292079207920792}","{'NDCG@5': 0.2102395061710436, 'HR@5': 0.2960965084346803}","{'NDCG@5': 0.18214776900767926, 'HR@5': 0.2630879059350504}","{'NDCG@5': 0.15847246770789578, 'HR@5': 0.23547923650543887}","{'NDCG@5': 0.13338536691538186, 'HR@5': 0.20222267675734643}","{'NDCG@5': 0.09994958820186949, 'HR@5': 0.15515126737530663}"
"{'NDCG@5': 0.3518274508647215, 'HR@5': 0.4641120960823563}","{'NDCG@5': 0.3191338909295524, 'HR@5': 0.4259980525803311}","{'NDCG@5': 0.29502990907121507, 'HR@5': 0.3999596204320614}","{'NDCG@5': 0.2702367335159937, 'HR@5': 0.36906151025170864}","{'NDCG@5': 0.23553907505664043, 'HR@5': 0.32894736842105265}","{'NDCG@5': 0.20979823207214998, 'HR@5': 0.2955080423695567}","{'NDCG@5': 0.18136160082545083, 'HR@5': 0.26077827547592386}","{'NDCG@5': 0.1589961510179581, 'HR@5': 0.233837312718068}","{'NDCG@5': 0.13405892543128994, 'HR@5': 0.20188177541419514}","{'NDCG@5': 0.10078814564869518, 'HR@5': 0.15658217497955845}"
"{'NDCG@5': 0.3532989396810482, 'HR@5': 0.4643980554761224}","{'NDCG@5': 0.32185293859260733, 'HR@5': 0.4252677702044791}","{'NDCG@5': 0.2946126693230968, 'HR@5': 0.39935392691298205}","{'NDCG@5': 0.2704257612011082, 'HR@5': 0.3707284547424571}","{'NDCG@5': 0.23536456784463386, 'HR@5': 0.3285565398645128}","{'NDCG@5': 0.2094850118275689, 'HR@5': 0.29599843075715965}","{'NDCG@5': 0.18148222158136926, 'HR@5': 0.2620380739081747}","{'NDCG@5': 0.158842559991813, 'HR@5': 0.2351371690497366}","{'NDCG@5': 0.13402287483476716, 'HR@5': 0.2014726938024136}","{'NDCG@5': 0.10047453336826134, 'HR@5': 0.15521940583265195}"
"{'NDCG@5': 0.35231735124378255, 'HR@5': 0.4646840148698885}","{'NDCG@5': 0.32207450950355554, 'HR@5': 0.4255111976630964}","{'NDCG@5': 0.29542749180791106, 'HR@5': 0.4003634161114476}","{'NDCG@5': 0.2699391913800865, 'HR@5': 0.3682280380063344}","{'NDCG@5': 0.2358515584410016, 'HR@5': 0.3294684731631058}","{'NDCG@5': 0.21055409811731945, 'HR@5': 0.29746959591996863}","{'NDCG@5': 0.18155039726434874, 'HR@5': 0.2612681970884658}","{'NDCG@5': 0.15881378644199842, 'HR@5': 0.233837312718068}","{'NDCG@5': 0.13383587088919105, 'HR@5': 0.20174541487693462}","{'NDCG@5': 0.10072576056777569, 'HR@5': 0.15603706732079586}"
"{'NDCG@5': 0.354093581749964, 'HR@5': 0.46525593365742063}","{'NDCG@5': 0.3207747113149895, 'HR@5': 0.4259980525803311}","{'NDCG@5': 0.29698309520717847, 'HR@5': 0.4033918837068443}","{'NDCG@5': 0.2691862562628509, 'HR@5': 0.369728288048008}","{'NDCG@5': 0.23564600284244558, 'HR@5': 0.3306409588327254}","{'NDCG@5': 0.20955026644665747, 'HR@5': 0.29688112985484505}","{'NDCG@5': 0.1825947810759824, 'HR@5': 0.26161814109742443}","{'NDCG@5': 0.15881771330531605, 'HR@5': 0.23356365875350618}","{'NDCG@5': 0.13340215930298424, 'HR@5': 0.200790891116111}","{'NDCG@5': 0.10063213686681607, 'HR@5': 0.15528754428999728}"
"{'NDCG@5': 0.353641194765796, 'HR@5': 0.4672576494137832}","{'NDCG@5': 0.3204492326201452, 'HR@5': 0.42745861733203505}","{'NDCG@5': 0.2937607587914384, 'HR@5': 0.39935392691298205}","{'NDCG@5': 0.26888500977187807, 'HR@5': 0.3688948158026338}","{'NDCG@5': 0.23566153686421132, 'HR@5': 0.3303804064616988}","{'NDCG@5': 0.2100811478901288, 'HR@5': 0.2967830521773244}","{'NDCG@5': 0.18203505157424035, 'HR@5': 0.26140817469204924}","{'NDCG@5': 0.15704364362095105, 'HR@5': 0.23178490798385443}","{'NDCG@5': 0.13271405184186613, 'HR@5': 0.19779095929637963}","{'NDCG@5': 0.09993484578665991, 'HR@5': 0.1542654674298174}"
"{'NDCG@5': 0.3528072811498203, 'HR@5': 0.46496997426365455}","{'NDCG@5': 0.32043455081406363, 'HR@5': 0.4247809152872444}","{'NDCG@5': 0.2930151553928546, 'HR@5': 0.3971330506763578}","{'NDCG@5': 0.2659017923832912, 'HR@5': 0.3642273712285381}","{'NDCG@5': 0.23373861263074927, 'HR@5': 0.32803543512245964}","{'NDCG@5': 0.20836626719342, 'HR@5': 0.2949195763044331}","{'NDCG@5': 0.1810610615053339, 'HR@5': 0.2599384098544233}","{'NDCG@5': 0.15562939302512238, 'HR@5': 0.2291851953205172}","{'NDCG@5': 0.13186270124460775, 'HR@5': 0.19738187768459808}","{'NDCG@5': 0.09848655290534845, 'HR@5': 0.1526982829108749}"
"{'NDCG@5': 0.3552805645881957, 'HR@5': 0.4661138118387189}","{'NDCG@5': 0.32264636327403007, 'HR@5': 0.428919182083739}","{'NDCG@5': 0.2921495998719848, 'HR@5': 0.39511407227942663}","{'NDCG@5': 0.26604135264054224, 'HR@5': 0.36439406567761295}","{'NDCG@5': 0.23384410621805599, 'HR@5': 0.3271235018238666}","{'NDCG@5': 0.2087549024250062, 'HR@5': 0.29423303256178895}","{'NDCG@5': 0.181853025604107, 'HR@5': 0.2610582306830907}","{'NDCG@5': 0.1560163429345588, 'HR@5': 0.22843264691797222}","{'NDCG@5': 0.13292930374401374, 'HR@5': 0.19813186063953092}","{'NDCG@5': 0.0976382163856278, 'HR@5': 0.15065412919051513}"
"{'NDCG@5': 0.3531428359905206, 'HR@5': 0.4641120960823563}","{'NDCG@5': 0.32317156756862186, 'HR@5': 0.4294060370009737}","{'NDCG@5': 0.29292930277741513, 'HR@5': 0.39693115283666464}","{'NDCG@5': 0.26750628164973267, 'HR@5': 0.36772795465910985}","{'NDCG@5': 0.2328439662584571, 'HR@5': 0.3247785304846274}","{'NDCG@5': 0.20843346544324326, 'HR@5': 0.29315417810906236}","{'NDCG@5': 0.1817574173267478, 'HR@5': 0.26182810750279956}","{'NDCG@5': 0.15679758391591364, 'HR@5': 0.22850106040911267}","{'NDCG@5': 0.13105073546057722, 'HR@5': 0.19547283016295083}","{'NDCG@5': 0.0968247842131764, 'HR@5': 0.1490188062142273}"
"{'NDCG@5': 0.3552836945321184, 'HR@5': 0.46782956820131544}","{'NDCG@5': 0.3239455712102966, 'HR@5': 0.428919182083739}","{'NDCG@5': 0.29354746628274275, 'HR@5': 0.39672925499697154}","{'NDCG@5': 0.2695990049412096, 'HR@5': 0.3692282047007835}","{'NDCG@5': 0.23525916253820195, 'HR@5': 0.3303804064616988}","{'NDCG@5': 0.20992269155210283, 'HR@5': 0.29442918791683015}","{'NDCG@5': 0.18338026312983038, 'HR@5': 0.2631578947368421}","{'NDCG@5': 0.15771410923380969, 'HR@5': 0.2295956762673599}","{'NDCG@5': 0.13279984116681626, 'HR@5': 0.1984727619826822}","{'NDCG@5': 0.09701232063786412, 'HR@5': 0.14895066775688198}"
"{'NDCG@5': 0.35682785774846265, 'HR@5': 0.46868744638261367}","{'NDCG@5': 0.3243649322271761, 'HR@5': 0.4272151898734177}","{'NDCG@5': 0.2942855342600714, 'HR@5': 0.4003634161114476}","{'NDCG@5': 0.268994980100713, 'HR@5': 0.3702283713952325}","{'NDCG@5': 0.23422509056662996, 'HR@5': 0.32751433038040645}","{'NDCG@5': 0.2112158559788618, 'HR@5': 0.29619458611220084}","{'NDCG@5': 0.18355816346994244, 'HR@5': 0.2635078387458007}","{'NDCG@5': 0.15777142837240302, 'HR@5': 0.2295956762673599}","{'NDCG@5': 0.1322263114460399, 'HR@5': 0.1971773368787073}","{'NDCG@5': 0.09651331805624705, 'HR@5': 0.14826928318342872}"
"{'NDCG@5': 0.3559079324173476, 'HR@5': 0.46582785244495284}","{'NDCG@5': 0.32374783754048114, 'HR@5': 0.4286757546251217}","{'NDCG@5': 0.2941648309160756, 'HR@5': 0.4017767009892994}","{'NDCG@5': 0.26804157855239713, 'HR@5': 0.36722787131188533}","{'NDCG@5': 0.23488449732948102, 'HR@5': 0.32790515893694633}","{'NDCG@5': 0.20973956481717806, 'HR@5': 0.29374264417418594}","{'NDCG@5': 0.18243006619345525, 'HR@5': 0.2611982082866741}","{'NDCG@5': 0.1579745144301365, 'HR@5': 0.23069029212560718}","{'NDCG@5': 0.13086176273885888, 'HR@5': 0.19560919070021135}","{'NDCG@5': 0.09627537298397831, 'HR@5': 0.14786045243935678}"
"{'NDCG@5': 0.359868491362804, 'HR@5': 0.4704032027452102}","{'NDCG@5': 0.3248203482198286, 'HR@5': 0.4330574488802337}","{'NDCG@5': 0.29323338490096484, 'HR@5': 0.4001615182717545}","{'NDCG@5': 0.26862725471164023, 'HR@5': 0.3663943990665111}","{'NDCG@5': 0.23424771560980115, 'HR@5': 0.32764460656591976}","{'NDCG@5': 0.21162131604884712, 'HR@5': 0.2960965084346803}","{'NDCG@5': 0.18288787971157308, 'HR@5': 0.2611282194848824}","{'NDCG@5': 0.15785726567662461, 'HR@5': 0.22870630088253405}","{'NDCG@5': 0.1320494308001203, 'HR@5': 0.19690461580418628}","{'NDCG@5': 0.0966701155604599, 'HR@5': 0.14833742164077404}"
"{'NDCG@5': 0.3606110144210477, 'HR@5': 0.473262796682871}","{'NDCG@5': 0.324100563914066, 'HR@5': 0.4315968841285297}","{'NDCG@5': 0.29471069533847183, 'HR@5': 0.40076721179083385}","{'NDCG@5': 0.26838415234958174, 'HR@5': 0.37139523253875645}","{'NDCG@5': 0.23346879849536847, 'HR@5': 0.3256904637832204}","{'NDCG@5': 0.2100078164024494, 'HR@5': 0.29423303256178895}","{'NDCG@5': 0.1813977407920805, 'HR@5': 0.26021836506159013}","{'NDCG@5': 0.1577888785926892, 'HR@5': 0.22897995484709585}","{'NDCG@5': 0.1310291960309863, 'HR@5': 0.1955410104315811}","{'NDCG@5': 0.09660950721908262, 'HR@5': 0.14840556009811937}"
"{'NDCG@5': 0.3590213002269868, 'HR@5': 0.4724049185015728}","{'NDCG@5': 0.32335460049212195, 'HR@5': 0.432570593962999}","{'NDCG@5': 0.29481320774103903, 'HR@5': 0.4005653139511407}","{'NDCG@5': 0.26793844050823973, 'HR@5': 0.3687281213535589}","{'NDCG@5': 0.23512588766070275, 'HR@5': 0.32803543512245964}","{'NDCG@5': 0.2097101533925618, 'HR@5': 0.29501765398195373}","{'NDCG@5': 0.18176195497513267, 'HR@5': 0.26238801791713323}","{'NDCG@5': 0.15769291687778353, 'HR@5': 0.22856947390025312}","{'NDCG@5': 0.13134250401324277, 'HR@5': 0.19642735392377447}","{'NDCG@5': 0.09759917299613503, 'HR@5': 0.15024529844644316}"
"{'NDCG@5': 0.35940636274067456, 'HR@5': 0.4715470403202745}","{'NDCG@5': 0.32696876189763313, 'HR@5': 0.436222005842259}","{'NDCG@5': 0.29375799866260216, 'HR@5': 0.39693115283666464}","{'NDCG@5': 0.2685529423580847, 'HR@5': 0.3687281213535589}","{'NDCG@5': 0.233509455544881, 'HR@5': 0.3238665971860344}","{'NDCG@5': 0.2098583912616846, 'HR@5': 0.29658689682228323}","{'NDCG@5': 0.18191651880505155, 'HR@5': 0.2611982082866741}","{'NDCG@5': 0.15693341486504875, 'HR@5': 0.2281589929534104}","{'NDCG@5': 0.13057792445310207, 'HR@5': 0.1956773709688416}","{'NDCG@5': 0.0974843388802767, 'HR@5': 0.14990460615971654}"
