test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.330466562846365, 'HR@5': 0.4432370603374321}","{'NDCG@5': 0.3031067112659491, 'HR@5': 0.4143135345666991}","{'NDCG@5': 0.2763892392495386, 'HR@5': 0.3823945083787603}","{'NDCG@5': 0.25340370787895516, 'HR@5': 0.35855975995999334}","{'NDCG@5': 0.22091775219046822, 'HR@5': 0.3174830640958833}","{'NDCG@5': 0.18958234735486643, 'HR@5': 0.2789329148685759}","{'NDCG@5': 0.1576920187966472, 'HR@5': 0.24349104143337066}","{'NDCG@5': 0.14235698867273894, 'HR@5': 0.2241225969761237}","{'NDCG@5': 0.12267450687122512, 'HR@5': 0.19370014317856413}","{'NDCG@5': 0.09200828386984163, 'HR@5': 0.15249386753883892}"
"{'NDCG@5': 0.33202497059472164, 'HR@5': 0.44409493851873033}","{'NDCG@5': 0.30400019785261945, 'HR@5': 0.41285296981499514}","{'NDCG@5': 0.27717782160798843, 'HR@5': 0.38138501918029477}","{'NDCG@5': 0.25606943357434514, 'HR@5': 0.36039339889981664}","{'NDCG@5': 0.22095186642410802, 'HR@5': 0.3161803022407504}","{'NDCG@5': 0.1902616391365664, 'HR@5': 0.2792271479011377}","{'NDCG@5': 0.15928878095094162, 'HR@5': 0.24433090705487123}","{'NDCG@5': 0.14271785551530397, 'HR@5': 0.2230963946090169}","{'NDCG@5': 0.12304204110557503, 'HR@5': 0.19349560237267335}","{'NDCG@5': 0.09273833559879427, 'HR@5': 0.15290269828291086}"
"{'NDCG@5': 0.3354512431898348, 'HR@5': 0.4483843294252216}","{'NDCG@5': 0.30533952052348284, 'HR@5': 0.4126095423563778}","{'NDCG@5': 0.2782466200689554, 'HR@5': 0.3803755299818292}","{'NDCG@5': 0.25705597971571503, 'HR@5': 0.3595599266544424}","{'NDCG@5': 0.2222185274307562, 'HR@5': 0.31774361646690985}","{'NDCG@5': 0.19144651686992126, 'HR@5': 0.28030600235386427}","{'NDCG@5': 0.15978925546814177, 'HR@5': 0.24454087346024636}","{'NDCG@5': 0.14384849654892412, 'HR@5': 0.22473831839638778}","{'NDCG@5': 0.12437005157681187, 'HR@5': 0.19595009204336264}","{'NDCG@5': 0.09307954668317996, 'HR@5': 0.15358408285636413}"
"{'NDCG@5': 0.3382247598879034, 'HR@5': 0.44895624821275376}","{'NDCG@5': 0.3073527327110711, 'HR@5': 0.4116358325219085}","{'NDCG@5': 0.281182595345312, 'HR@5': 0.38481728245507774}","{'NDCG@5': 0.259606595066138, 'HR@5': 0.3633938989831639}","{'NDCG@5': 0.22448338490938274, 'HR@5': 0.3195674830640959}","{'NDCG@5': 0.19290721766536081, 'HR@5': 0.28030600235386427}","{'NDCG@5': 0.16153246714524858, 'HR@5': 0.24713045912653975}","{'NDCG@5': 0.1442059753073781, 'HR@5': 0.22432783744954504}","{'NDCG@5': 0.12529415764703794, 'HR@5': 0.19608645258062316}","{'NDCG@5': 0.09388294099747665, 'HR@5': 0.15412919051512675}"
"{'NDCG@5': 0.3413124148020781, 'HR@5': 0.44952816700028597}","{'NDCG@5': 0.30839954096410105, 'HR@5': 0.4118792599805258}","{'NDCG@5': 0.28169727736745, 'HR@5': 0.38320209973753283}","{'NDCG@5': 0.26073553232010066, 'HR@5': 0.36256042673778965}","{'NDCG@5': 0.22500449663414393, 'HR@5': 0.3196977592496092}","{'NDCG@5': 0.19386943020145672, 'HR@5': 0.2824637112593174}","{'NDCG@5': 0.16251610546249137, 'HR@5': 0.24692049272116462}","{'NDCG@5': 0.14531553223427904, 'HR@5': 0.22569610727235412}","{'NDCG@5': 0.12621052472922797, 'HR@5': 0.1979955001022704}","{'NDCG@5': 0.09566223490444146, 'HR@5': 0.1569228672662851}"
"{'NDCG@5': 0.3439607831557221, 'HR@5': 0.4532456391192451}","{'NDCG@5': 0.3106822466603403, 'HR@5': 0.41455696202531644}","{'NDCG@5': 0.28389998364608515, 'HR@5': 0.38623056733292954}","{'NDCG@5': 0.2622189178252131, 'HR@5': 0.3633938989831639}","{'NDCG@5': 0.22664948842107643, 'HR@5': 0.3208702449192288}","{'NDCG@5': 0.19423744806397206, 'HR@5': 0.2818752451941938}","{'NDCG@5': 0.16333926409445007, 'HR@5': 0.24804031354983203}","{'NDCG@5': 0.14602405342031471, 'HR@5': 0.22651706916603953}","{'NDCG@5': 0.12619124741988766, 'HR@5': 0.19724551714733757}","{'NDCG@5': 0.09510921016019878, 'HR@5': 0.1558326519487599}"
"{'NDCG@5': 0.3466895673846287, 'HR@5': 0.4532456391192451}","{'NDCG@5': 0.31399215866353597, 'HR@5': 0.41845180136319376}","{'NDCG@5': 0.2873737244841225, 'HR@5': 0.38784575005047445}","{'NDCG@5': 0.26467865733647633, 'HR@5': 0.36356059343223873}","{'NDCG@5': 0.22963305052375946, 'HR@5': 0.3226941115164148}","{'NDCG@5': 0.19753298280900852, 'HR@5': 0.28658297371518243}","{'NDCG@5': 0.16484190284571013, 'HR@5': 0.2483902575587906}","{'NDCG@5': 0.1473102946930048, 'HR@5': 0.2267223096394609}","{'NDCG@5': 0.1280311504107027, 'HR@5': 0.20024544896706892}","{'NDCG@5': 0.09684743721526931, 'HR@5': 0.1582856364131916}"
"{'NDCG@5': 0.34708698500145907, 'HR@5': 0.45381755790677725}","{'NDCG@5': 0.316070829403396, 'HR@5': 0.4196689386562804}","{'NDCG@5': 0.287635306924554, 'HR@5': 0.3882495457298607}","{'NDCG@5': 0.26546865969785083, 'HR@5': 0.3628938156359393}","{'NDCG@5': 0.23076681511931516, 'HR@5': 0.3230849400729547}","{'NDCG@5': 0.19723049287388714, 'HR@5': 0.2853079639074147}","{'NDCG@5': 0.1652073636735686, 'HR@5': 0.2483202687569989}","{'NDCG@5': 0.14737256734995702, 'HR@5': 0.22720120407744407}","{'NDCG@5': 0.12866478762382041, 'HR@5': 0.2016090543396741}","{'NDCG@5': 0.09665647353276573, 'HR@5': 0.157536113382393}"
"{'NDCG@5': 0.35036708262437555, 'HR@5': 0.45496139548184156}","{'NDCG@5': 0.31985532653707766, 'HR@5': 0.4225900681596884}","{'NDCG@5': 0.2903959968712841, 'HR@5': 0.3896628306077125}","{'NDCG@5': 0.26893875312126514, 'HR@5': 0.36772795465910985}","{'NDCG@5': 0.2330675187739054, 'HR@5': 0.32451797811360084}","{'NDCG@5': 0.19971084359226887, 'HR@5': 0.2870733621027854}","{'NDCG@5': 0.16762579231906052, 'HR@5': 0.2499300111982083}","{'NDCG@5': 0.1488037980705395, 'HR@5': 0.22733803105972497}","{'NDCG@5': 0.12882766987845976, 'HR@5': 0.20051817004158998}","{'NDCG@5': 0.09755139173614262, 'HR@5': 0.15849005178522757}"
"{'NDCG@5': 0.35373741903304207, 'HR@5': 0.45782098941950244}","{'NDCG@5': 0.3223984670656314, 'HR@5': 0.4225900681596884}","{'NDCG@5': 0.2929364730222965, 'HR@5': 0.3894609327680194}","{'NDCG@5': 0.27089877447450195, 'HR@5': 0.369728288048008}","{'NDCG@5': 0.2351031776820134, 'HR@5': 0.325951016154247}","{'NDCG@5': 0.20248681936530863, 'HR@5': 0.2897214593958415}","{'NDCG@5': 0.16903717778726865, 'HR@5': 0.251959686450168}","{'NDCG@5': 0.15123658231246104, 'HR@5': 0.230211397687624}","{'NDCG@5': 0.13173019335787262, 'HR@5': 0.20460898615940548}","{'NDCG@5': 0.09852365483459709, 'HR@5': 0.15869446715726357}"
