test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.42990723301031514, 'HR@5': 0.500142979696883}","{'NDCG@5': 0.3954954929699909, 'HR@5': 0.46153846153846156}","{'NDCG@5': 0.3655163698958812, 'HR@5': 0.4375126186149808}","{'NDCG@5': 0.3401836194565907, 'HR@5': 0.414069011501917}","{'NDCG@5': 0.30335030789994455, 'HR@5': 0.3781917665450756}","{'NDCG@5': 0.26834610031812073, 'HR@5': 0.3428795606120047}","{'NDCG@5': 0.23112693590797714, 'HR@5': 0.3076707726763718}","{'NDCG@5': 0.2084372778778457, 'HR@5': 0.28418964219744136}","{'NDCG@5': 0.17971301732449757, 'HR@5': 0.2502897661416786}","{'NDCG@5': 0.13480920261632573, 'HR@5': 0.19630689561188336}"
"{'NDCG@5': 0.43071380321895114, 'HR@5': 0.5004289390906491}","{'NDCG@5': 0.39694508164371795, 'HR@5': 0.46299902629016554}","{'NDCG@5': 0.36725331338207207, 'HR@5': 0.43973349485160507}","{'NDCG@5': 0.34082156811003705, 'HR@5': 0.41423570595099185}","{'NDCG@5': 0.3050223763244889, 'HR@5': 0.38014590932777487}","{'NDCG@5': 0.2696180980632283, 'HR@5': 0.3437622597096901}","{'NDCG@5': 0.2327543896719029, 'HR@5': 0.3092805151175812}","{'NDCG@5': 0.20934078577741172, 'HR@5': 0.28487377710884587}","{'NDCG@5': 0.18073955755982277, 'HR@5': 0.2507670280220904}","{'NDCG@5': 0.1359711195902679, 'HR@5': 0.19712455710002724}"
"{'NDCG@5': 0.4316116384725237, 'HR@5': 0.5007148984844152}","{'NDCG@5': 0.3982732647618195, 'HR@5': 0.46543330087633883}","{'NDCG@5': 0.36874027897751854, 'HR@5': 0.4419543710882294}","{'NDCG@5': 0.34236576986173584, 'HR@5': 0.4167361226871145}","{'NDCG@5': 0.3063400434030608, 'HR@5': 0.3824908806670141}","{'NDCG@5': 0.2708038720242667, 'HR@5': 0.3459199686151432}","{'NDCG@5': 0.23445389493450078, 'HR@5': 0.311520156774916}","{'NDCG@5': 0.210762835028002, 'HR@5': 0.2861736334405145}","{'NDCG@5': 0.18202554211157904, 'HR@5': 0.2521306333946956}","{'NDCG@5': 0.13696973845204707, 'HR@5': 0.19848732624693377}"
"{'NDCG@5': 0.43293235379198675, 'HR@5': 0.5041464112096082}","{'NDCG@5': 0.4001816444801152, 'HR@5': 0.46762414800389485}","{'NDCG@5': 0.36995775744354226, 'HR@5': 0.4421562689279225}","{'NDCG@5': 0.343628820352996, 'HR@5': 0.4182363727287881}","{'NDCG@5': 0.30761611207530487, 'HR@5': 0.3837936425221469}","{'NDCG@5': 0.2725849995367463, 'HR@5': 0.3477834444880345}","{'NDCG@5': 0.23618270275490374, 'HR@5': 0.31326987681970886}","{'NDCG@5': 0.2121489473618615, 'HR@5': 0.28747348977218307}","{'NDCG@5': 0.18391346833299235, 'HR@5': 0.2545851230653849}","{'NDCG@5': 0.13850693720447832, 'HR@5': 0.19998637230853095}"
"{'NDCG@5': 0.43494711056283053, 'HR@5': 0.5061481269659708}","{'NDCG@5': 0.40121993338110723, 'HR@5': 0.46932814021421615}","{'NDCG@5': 0.3716340365631049, 'HR@5': 0.44316575812638803}","{'NDCG@5': 0.34524145779348037, 'HR@5': 0.41973662277046175}","{'NDCG@5': 0.3089232047825747, 'HR@5': 0.38483585200625325}","{'NDCG@5': 0.27438472441988665, 'HR@5': 0.34984307571596707}","{'NDCG@5': 0.23710172084201944, 'HR@5': 0.3140397536394177}","{'NDCG@5': 0.2135685915804154, 'HR@5': 0.28925224054183485}","{'NDCG@5': 0.18525055395351817, 'HR@5': 0.2560169087066203}","{'NDCG@5': 0.13978518313875166, 'HR@5': 0.20134914145543745}"
"{'NDCG@5': 0.4355611932085341, 'HR@5': 0.5055762081784386}","{'NDCG@5': 0.40250383647581217, 'HR@5': 0.47005842259006814}","{'NDCG@5': 0.37252977914569185, 'HR@5': 0.44417524732485364}","{'NDCG@5': 0.3465521769821143, 'HR@5': 0.42073678946491083}","{'NDCG@5': 0.30993991423745526, 'HR@5': 0.3853569567483064}","{'NDCG@5': 0.2762810518112075, 'HR@5': 0.3515103962338172}","{'NDCG@5': 0.23863574286380973, 'HR@5': 0.3157194848824188}","{'NDCG@5': 0.21555102577983046, 'HR@5': 0.29171512622289114}","{'NDCG@5': 0.18670370727138313, 'HR@5': 0.25772141542237675}","{'NDCG@5': 0.14117512079472444, 'HR@5': 0.20318887980376124}"
"{'NDCG@5': 0.43772284151734103, 'HR@5': 0.5084358021160995}","{'NDCG@5': 0.40338884156458993, 'HR@5': 0.4710321324245375}","{'NDCG@5': 0.3737689400352463, 'HR@5': 0.44579043004239854}","{'NDCG@5': 0.3480887679067135, 'HR@5': 0.42207034505750957}","{'NDCG@5': 0.3121620505245992, 'HR@5': 0.38783220427305887}","{'NDCG@5': 0.27792476780054637, 'HR@5': 0.3527854060415849}","{'NDCG@5': 0.23980873194989635, 'HR@5': 0.3169092945128779}","{'NDCG@5': 0.2169853589026745, 'HR@5': 0.2929465690634193}","{'NDCG@5': 0.1881241287717047, 'HR@5': 0.25901684052635165}","{'NDCG@5': 0.14260933089469682, 'HR@5': 0.20509675660943036}"
"{'NDCG@5': 0.43863798417408567, 'HR@5': 0.5081498427223334}","{'NDCG@5': 0.4040657907783925, 'HR@5': 0.47297955209347614}","{'NDCG@5': 0.3749199181685883, 'HR@5': 0.4467999192408641}","{'NDCG@5': 0.3492639498344157, 'HR@5': 0.4240706784464077}","{'NDCG@5': 0.31392664965548717, 'HR@5': 0.3900468994267848}","{'NDCG@5': 0.2797979333488097, 'HR@5': 0.3545508042369557}","{'NDCG@5': 0.2413573113940183, 'HR@5': 0.3183090705487122}","{'NDCG@5': 0.21782670579177463, 'HR@5': 0.2934254635014025}","{'NDCG@5': 0.18936941185630743, 'HR@5': 0.26031226563032656}","{'NDCG@5': 0.14341527130523693, 'HR@5': 0.20530117198146633}"
"{'NDCG@5': 0.4401224766212478, 'HR@5': 0.510151558478696}","{'NDCG@5': 0.40513869706922323, 'HR@5': 0.47322297955209347}","{'NDCG@5': 0.37574901428414936, 'HR@5': 0.44720371492025035}","{'NDCG@5': 0.35121245871374285, 'HR@5': 0.42623770628438074}","{'NDCG@5': 0.3157093111735368, 'HR@5': 0.39161021365294424}","{'NDCG@5': 0.28126909851161863, 'HR@5': 0.3560219693997646}","{'NDCG@5': 0.24301346081324512, 'HR@5': 0.32012877939529677}","{'NDCG@5': 0.21872187979311744, 'HR@5': 0.29390435793938563}","{'NDCG@5': 0.19099863271372475, 'HR@5': 0.26201677234608306}","{'NDCG@5': 0.14441959167830926, 'HR@5': 0.2064595257563369}"
"{'NDCG@5': 0.44036472961197654, 'HR@5': 0.5095796396911638}","{'NDCG@5': 0.40577957760233113, 'HR@5': 0.47468354430379744}","{'NDCG@5': 0.37723013877537204, 'HR@5': 0.4494245911568746}","{'NDCG@5': 0.3523281879800578, 'HR@5': 0.4279046507751292}","{'NDCG@5': 0.3167429399718484, 'HR@5': 0.39252214695153725}","{'NDCG@5': 0.2829019654166894, 'HR@5': 0.3590623774029031}","{'NDCG@5': 0.2443555944079316, 'HR@5': 0.3219484882418813}","{'NDCG@5': 0.21960732478627837, 'HR@5': 0.2949989737976329}","{'NDCG@5': 0.19201652576480657, 'HR@5': 0.26297129610690667}","{'NDCG@5': 0.14553987719801328, 'HR@5': 0.2072771872444808}"
