test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.33613618518785326, 'HR@5': 0.4446668573062625}","{'NDCG@5': 0.3095216275183261, 'HR@5': 0.41528724440116843}","{'NDCG@5': 0.28151790626810036, 'HR@5': 0.38602866949323644}","{'NDCG@5': 0.2585361900477723, 'HR@5': 0.35905984330721785}","{'NDCG@5': 0.22580526444399707, 'HR@5': 0.32204273058884836}","{'NDCG@5': 0.1945526426966513, 'HR@5': 0.2823656335817968}","{'NDCG@5': 0.16208930700687135, 'HR@5': 0.24699048152295633}","{'NDCG@5': 0.14535168336907714, 'HR@5': 0.2255592802900732}","{'NDCG@5': 0.12627845148938965, 'HR@5': 0.19826822117679144}","{'NDCG@5': 0.09375222992147259, 'HR@5': 0.15392477514309075}"
"{'NDCG@5': 0.3397638828681305, 'HR@5': 0.4475264512439234}","{'NDCG@5': 0.31057880235442764, 'HR@5': 0.41358325219084713}","{'NDCG@5': 0.28374197116917976, 'HR@5': 0.3858267716535433}","{'NDCG@5': 0.2604684794215836, 'HR@5': 0.35905984330721785}","{'NDCG@5': 0.22844075689696874, 'HR@5': 0.3229546638874414}","{'NDCG@5': 0.19637817431622093, 'HR@5': 0.2834444880345233}","{'NDCG@5': 0.16446824698721127, 'HR@5': 0.24853023516237402}","{'NDCG@5': 0.14633413007333948, 'HR@5': 0.22617500171033728}","{'NDCG@5': 0.12673850559218652, 'HR@5': 0.19813186063953092}","{'NDCG@5': 0.09485536561692062, 'HR@5': 0.15528754428999728}"
"{'NDCG@5': 0.34381353726321023, 'HR@5': 0.44952816700028597}","{'NDCG@5': 0.3115810605932173, 'HR@5': 0.4123661148977605}","{'NDCG@5': 0.2861079527229012, 'HR@5': 0.3880476478901676}","{'NDCG@5': 0.26313433459314217, 'HR@5': 0.3623937322887148}","{'NDCG@5': 0.2309772051654411, 'HR@5': 0.3239968733715477}","{'NDCG@5': 0.1973272468898229, 'HR@5': 0.28393487642212634}","{'NDCG@5': 0.1663053421511681, 'HR@5': 0.25062989921612544}","{'NDCG@5': 0.14818454854045082, 'HR@5': 0.2289115413559554}","{'NDCG@5': 0.1282627287647229, 'HR@5': 0.20038180950432943}","{'NDCG@5': 0.09551450222615994, 'HR@5': 0.15549195966203325}"
"{'NDCG@5': 0.34724121307675543, 'HR@5': 0.4552473548756077}","{'NDCG@5': 0.315005078611547, 'HR@5': 0.4150438169425511}","{'NDCG@5': 0.28912738527513976, 'HR@5': 0.3912780133252574}","{'NDCG@5': 0.2650272240976327, 'HR@5': 0.3620603433905651}","{'NDCG@5': 0.23359695422165083, 'HR@5': 0.32582073996873373}","{'NDCG@5': 0.1998380542616406, 'HR@5': 0.28619066300510004}","{'NDCG@5': 0.16780675429089725, 'HR@5': 0.25174972004479285}","{'NDCG@5': 0.14947844569256172, 'HR@5': 0.23000615721420264}","{'NDCG@5': 0.1292853006927309, 'HR@5': 0.2019499556828254}","{'NDCG@5': 0.09668125325318687, 'HR@5': 0.1574679749250477}"
"{'NDCG@5': 0.349615991725663, 'HR@5': 0.45496139548184156}","{'NDCG@5': 0.3191122215096035, 'HR@5': 0.42015579357351507}","{'NDCG@5': 0.29149562308326216, 'HR@5': 0.39208560468402986}","{'NDCG@5': 0.26671709972456437, 'HR@5': 0.3633938989831639}","{'NDCG@5': 0.23471118467802218, 'HR@5': 0.32660239708181343}","{'NDCG@5': 0.20113534939732666, 'HR@5': 0.2875637504903884}","{'NDCG@5': 0.17008059357336203, 'HR@5': 0.2537094064949608}","{'NDCG@5': 0.15046712172890728, 'HR@5': 0.23082711910788808}","{'NDCG@5': 0.12981554811469967, 'HR@5': 0.20119997272789256}","{'NDCG@5': 0.09749949003153946, 'HR@5': 0.15835377487053692}"
"{'NDCG@5': 0.353669535164064, 'HR@5': 0.4586788676008007}","{'NDCG@5': 0.3215903046350526, 'HR@5': 0.4218597857838364}","{'NDCG@5': 0.2954814037800096, 'HR@5': 0.39693115283666464}","{'NDCG@5': 0.2683423424475773, 'HR@5': 0.3652275379229872}","{'NDCG@5': 0.23655746128172875, 'HR@5': 0.32894736842105265}","{'NDCG@5': 0.20231218056654762, 'HR@5': 0.28883876029815614}","{'NDCG@5': 0.1714090263292945, 'HR@5': 0.2551791713325868}","{'NDCG@5': 0.15158179594872054, 'HR@5': 0.23246904289525894}","{'NDCG@5': 0.1310191305239847, 'HR@5': 0.20297265971227926}","{'NDCG@5': 0.09825515761339039, 'HR@5': 0.1601253747615154}"
"{'NDCG@5': 0.35682289704349923, 'HR@5': 0.46125250214469543}","{'NDCG@5': 0.3236859824199155, 'HR@5': 0.4233203505355404}","{'NDCG@5': 0.2965711342388193, 'HR@5': 0.3961235614778922}","{'NDCG@5': 0.27175921335187175, 'HR@5': 0.36672778796466077}","{'NDCG@5': 0.24031434566893983, 'HR@5': 0.3315528921313184}","{'NDCG@5': 0.2061119042385097, 'HR@5': 0.2934484111416242}","{'NDCG@5': 0.1736456985214923, 'HR@5': 0.25832866741321386}","{'NDCG@5': 0.15289008544539104, 'HR@5': 0.23287952384210167}","{'NDCG@5': 0.1326760821329552, 'HR@5': 0.2050862480398173}","{'NDCG@5': 0.09865806208859842, 'HR@5': 0.15951212864540748}"
"{'NDCG@5': 0.3592489313403335, 'HR@5': 0.4635401772948241}","{'NDCG@5': 0.3260788988333325, 'HR@5': 0.4255111976630964}","{'NDCG@5': 0.29901508495321466, 'HR@5': 0.3987482333939027}","{'NDCG@5': 0.2736650352444295, 'HR@5': 0.3683947324554092}","{'NDCG@5': 0.24188051104326957, 'HR@5': 0.33298593017196454}","{'NDCG@5': 0.20791395366115412, 'HR@5': 0.2952138093369949}","{'NDCG@5': 0.17598784720923089, 'HR@5': 0.26084826427771557}","{'NDCG@5': 0.15490725265130967, 'HR@5': 0.2352739960320175}","{'NDCG@5': 0.1351041959832647, 'HR@5': 0.20788163905365786}","{'NDCG@5': 0.10070936261586229, 'HR@5': 0.16216952848187516}"
"{'NDCG@5': 0.3630746662139811, 'HR@5': 0.4661138118387189}","{'NDCG@5': 0.3301269221554793, 'HR@5': 0.42672833495618306}","{'NDCG@5': 0.30225897266103263, 'HR@5': 0.40096910963052695}","{'NDCG@5': 0.27785937605517946, 'HR@5': 0.3733955659276546}","{'NDCG@5': 0.243854525770534, 'HR@5': 0.3346795205836373}","{'NDCG@5': 0.21060073670176271, 'HR@5': 0.29884268340525694}","{'NDCG@5': 0.17745810351885588, 'HR@5': 0.26140817469204924}","{'NDCG@5': 0.15713975585312015, 'HR@5': 0.23725798727509065}","{'NDCG@5': 0.13620718008116156, 'HR@5': 0.20985886684393537}","{'NDCG@5': 0.10197170382351553, 'HR@5': 0.16421368220223495}"
"{'NDCG@5': 0.3636078088420735, 'HR@5': 0.4661138118387189}","{'NDCG@5': 0.332005659442895, 'HR@5': 0.4279454722492697}","{'NDCG@5': 0.3048544536498889, 'HR@5': 0.402786190187765}","{'NDCG@5': 0.2782630941048229, 'HR@5': 0.37272878813135524}","{'NDCG@5': 0.245978132206537, 'HR@5': 0.33650338718082334}","{'NDCG@5': 0.2127422729411857, 'HR@5': 0.3000196155355041}","{'NDCG@5': 0.17865280483574025, 'HR@5': 0.2621780515117581}","{'NDCG@5': 0.15884217082109678, 'HR@5': 0.23924197851816378}","{'NDCG@5': 0.13718710297059583, 'HR@5': 0.21088157087338924}","{'NDCG@5': 0.10319154347952267, 'HR@5': 0.16509948214772419}"
