test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.03244014624281723, 'HR@5': 0.05519016299685445}","{'NDCG@5': 0.028228480639915562, 'HR@5': 0.04844206426484907}","{'NDCG@5': 0.030097210837623043, 'HR@5': 0.05047445992327882}","{'NDCG@5': 0.032260804447776736, 'HR@5': 0.053842307051175195}","{'NDCG@5': 0.030360144031892362, 'HR@5': 0.04898384575299635}","{'NDCG@5': 0.03204026507607615, 'HR@5': 0.053158101216163205}","{'NDCG@5': 0.03231486714693737, 'HR@5': 0.05466125419932811}","{'NDCG@5': 0.03387513380583949, 'HR@5': 0.05568858178832866}","{'NDCG@5': 0.03233083450403741, 'HR@5': 0.05440785436694621}","{'NDCG@5': 0.032137246082529144, 'HR@5': 0.05348868901608068}"
"{'NDCG@5': 0.031601937097298076, 'HR@5': 0.05318844724049185}","{'NDCG@5': 0.028332917169030608, 'HR@5': 0.04868549172346641}","{'NDCG@5': 0.03155538169128286, 'HR@5': 0.0541086210377549}","{'NDCG@5': 0.03249841712633037, 'HR@5': 0.054175695949324885}","{'NDCG@5': 0.03055885996611867, 'HR@5': 0.049374674309536216}","{'NDCG@5': 0.032045778089215826, 'HR@5': 0.053648489603766183}","{'NDCG@5': 0.03272569070334587, 'HR@5': 0.05550111982082867}","{'NDCG@5': 0.03401276237031873, 'HR@5': 0.0554833413149073}","{'NDCG@5': 0.03231047147944139, 'HR@5': 0.05386241221790414}","{'NDCG@5': 0.032357926565359726, 'HR@5': 0.05437448896156991}"
"{'NDCG@5': 0.031749293175391394, 'HR@5': 0.05261652845295968}","{'NDCG@5': 0.028590776014185873, 'HR@5': 0.04965920155793573}","{'NDCG@5': 0.03141447633692842, 'HR@5': 0.053704825358368666}","{'NDCG@5': 0.03174551284840367, 'HR@5': 0.052842140356726124}","{'NDCG@5': 0.030957502724692085, 'HR@5': 0.05015633142261595}","{'NDCG@5': 0.032487339941462225, 'HR@5': 0.05502157708905453}","{'NDCG@5': 0.032536992247066784, 'HR@5': 0.05536114221724524}","{'NDCG@5': 0.03417122608126869, 'HR@5': 0.05596223575289047}","{'NDCG@5': 0.03287695213035115, 'HR@5': 0.0552260175905093}","{'NDCG@5': 0.033243860311366946, 'HR@5': 0.05553284273644045}"
"{'NDCG@5': 0.03232778746642388, 'HR@5': 0.05404632542179011}","{'NDCG@5': 0.028697933065011227, 'HR@5': 0.04892891918208374}","{'NDCG@5': 0.03192364496462648, 'HR@5': 0.05350292751867555}","{'NDCG@5': 0.0314146109582973, 'HR@5': 0.052175362560426736}","{'NDCG@5': 0.030325028107219203, 'HR@5': 0.04911412193850964}","{'NDCG@5': 0.03237682607070398, 'HR@5': 0.053942722636327975}","{'NDCG@5': 0.03218899916132796, 'HR@5': 0.05473124300111982}","{'NDCG@5': 0.03401948613243, 'HR@5': 0.05589382226175002}","{'NDCG@5': 0.03299468821880399, 'HR@5': 0.05590782027681189}","{'NDCG@5': 0.033114401460697995, 'HR@5': 0.05519215044971382}"
"{'NDCG@5': 0.032217053279670956, 'HR@5': 0.05347440663425793}","{'NDCG@5': 0.028314038250729257, 'HR@5': 0.04795520934761441}","{'NDCG@5': 0.031922227752559026, 'HR@5': 0.053704825358368666}","{'NDCG@5': 0.030990840454212694, 'HR@5': 0.051508584764127355}","{'NDCG@5': 0.03019793283535854, 'HR@5': 0.048593017196456485}","{'NDCG@5': 0.03225517706243889, 'HR@5': 0.053942722636327975}","{'NDCG@5': 0.032773356375725426, 'HR@5': 0.055991041433370664}","{'NDCG@5': 0.03396027181400227, 'HR@5': 0.0554833413149073}","{'NDCG@5': 0.03343713851674413, 'HR@5': 0.05706688484352628}","{'NDCG@5': 0.032648096552577374, 'HR@5': 0.05505587353502317}"
"{'NDCG@5': 0.033145037056934064, 'HR@5': 0.05547612239062053}","{'NDCG@5': 0.027888175275744317, 'HR@5': 0.04771178188899708}","{'NDCG@5': 0.0316186251565433, 'HR@5': 0.052695336159903086}","{'NDCG@5': 0.032004326517994064, 'HR@5': 0.053342223703950656}","{'NDCG@5': 0.030552162359858966, 'HR@5': 0.049244398124022926}","{'NDCG@5': 0.03276973426590882, 'HR@5': 0.05511965476657513}","{'NDCG@5': 0.03267629413241194, 'HR@5': 0.055711086226203806}","{'NDCG@5': 0.03437731577516133, 'HR@5': 0.05650954368201409}","{'NDCG@5': 0.033226669586673106, 'HR@5': 0.056044180814072406}","{'NDCG@5': 0.03215695301382221, 'HR@5': 0.05396565821749796}"
"{'NDCG@5': 0.032000173608807296, 'HR@5': 0.05376036602802402}","{'NDCG@5': 0.02817182398501723, 'HR@5': 0.04892891918208374}","{'NDCG@5': 0.03145620963461215, 'HR@5': 0.05249343832020997}","{'NDCG@5': 0.03221694746997014, 'HR@5': 0.053842307051175195}","{'NDCG@5': 0.029914429059078023, 'HR@5': 0.04768108389786347}","{'NDCG@5': 0.03223281061847073, 'HR@5': 0.054433111023930954}","{'NDCG@5': 0.03204312736656697, 'HR@5': 0.05473124300111982}","{'NDCG@5': 0.03468636852479949, 'HR@5': 0.056851611137716355}","{'NDCG@5': 0.03307740157882015, 'HR@5': 0.05583964000818163}","{'NDCG@5': 0.032365773693217074, 'HR@5': 0.054647042790951214}"
"{'NDCG@5': 0.03209641355847008, 'HR@5': 0.05404632542179011}","{'NDCG@5': 0.027437382844132066, 'HR@5': 0.046007789678675755}","{'NDCG@5': 0.03210103123113317, 'HR@5': 0.05350292751867555}","{'NDCG@5': 0.03218622966938448, 'HR@5': 0.052342057009501584}","{'NDCG@5': 0.030018869436411074, 'HR@5': 0.04755080771235018}","{'NDCG@5': 0.032734875825082325, 'HR@5': 0.05511965476657513}","{'NDCG@5': 0.03182163098338689, 'HR@5': 0.05382138857782755}","{'NDCG@5': 0.03453311880015489, 'HR@5': 0.056988438119997264}","{'NDCG@5': 0.033052069249285804, 'HR@5': 0.055703279470921116}","{'NDCG@5': 0.03250380546477997, 'HR@5': 0.05498773507767784}"
"{'NDCG@5': 0.0325499070743053, 'HR@5': 0.05490420360308836}","{'NDCG@5': 0.02779041739140003, 'HR@5': 0.047224926971762414}","{'NDCG@5': 0.032675251310738646, 'HR@5': 0.0541086210377549}","{'NDCG@5': 0.031981241111491227, 'HR@5': 0.053342223703950656}","{'NDCG@5': 0.030741870850434345, 'HR@5': 0.04976550286607608}","{'NDCG@5': 0.0326537576638761, 'HR@5': 0.05511965476657513}","{'NDCG@5': 0.03218003592266493, 'HR@5': 0.054871220604703244}","{'NDCG@5': 0.034689726896903236, 'HR@5': 0.057056851611137716}","{'NDCG@5': 0.033086050452176524, 'HR@5': 0.056112361082702664}","{'NDCG@5': 0.03297141013700047, 'HR@5': 0.05607795039520305}"
"{'NDCG@5': 0.03194290932642294, 'HR@5': 0.05347440663425793}","{'NDCG@5': 0.02722351525564321, 'HR@5': 0.046251217137293084}","{'NDCG@5': 0.032517483746686386, 'HR@5': 0.0541086210377549}","{'NDCG@5': 0.03259646954763298, 'HR@5': 0.05367561260210035}","{'NDCG@5': 0.030239114252519433, 'HR@5': 0.047941636268890045}","{'NDCG@5': 0.03279930738098374, 'HR@5': 0.05531581012161632}","{'NDCG@5': 0.03238535463991245, 'HR@5': 0.05473124300111982}","{'NDCG@5': 0.03419506651260093, 'HR@5': 0.056783197646575904}","{'NDCG@5': 0.03323477978238443, 'HR@5': 0.05652144269448422}","{'NDCG@5': 0.03337862461202351, 'HR@5': 0.056623058053965655}"
